Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0045,001,39HB0045,170700,433690,760,,750,10,-1615,1946/01/16,1969/08/28
B39H0045,001,39HB0045,170700,433690,760,,757,10,-1615,1969/08/28,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0045,001,1950/06/14 00:00:00,262,
B39H0045,001,1950/06/28 00:00:00,267,
B39H0045,001,1950/07/14 00:00:00,283,
B39H0045,001,1950/07/28 00:00:00,248,
B39H0045,001,1950/08/14 00:00:00,314,
B39H0045,001,1950/08/28 00:00:00,334,
B39H0045,001,1950/09/14 00:00:00,248,
B39H0045,001,1950/09/28 00:00:00,273,
B39H0045,001,1950/10/14 00:00:00,305,
B39H0045,001,1950/10/28 00:00:00,335,
B39H0045,001,1950/11/14 00:00:00,299,
B39H0045,001,1950/11/28 00:00:00,117,
B39H0045,001,1950/12/14 00:00:00,101,
B39H0045,001,1950/12/28 00:00:00,204,
B39H0045,001,1951/01/15 00:00:00,138,
B39H0045,001,1951/01/29 00:00:00,64,
B39H0045,001,1951/02/14 00:00:00,200,
B39H0045,001,1951/02/28 00:00:00,141,
B39H0045,001,1951/03/14 00:00:00,218,
B39H0045,001,1951/03/28 00:00:00,125,
B39H0045,001,1951/04/14 00:00:00,126,
B39H0045,001,1951/04/28 00:00:00,205,
B39H0045,001,1951/05/15 00:00:00,222,
B39H0045,001,1951/05/28 00:00:00,228,
B39H0045,001,1951/06/14 00:00:00,210,
B39H0045,001,1951/06/28 00:00:00,185,
B39H0045,001,1951/07/14 00:00:00,212,
B39H0045,001,1951/07/28 00:00:00,203,
B39H0045,001,1951/08/14 00:00:00,181,
B39H0045,001,1951/08/28 00:00:00,244,
B39H0045,001,1951/09/14 00:00:00,277,
B39H0045,001,1951/09/28 00:00:00,302,
B39H0045,001,1951/10/15 00:00:00,334,
B39H0045,001,1951/11/14 00:00:00,347,
B39H0045,001,1951/11/28 00:00:00,216,
B39H0045,001,1951/12/14 00:00:00,211,
B39H0045,001,1951/12/28 00:00:00,245,
B39H0045,001,1952/01/14 00:00:00,134,
B39H0045,001,1952/01/28 00:00:00,179,
B39H0045,001,1952/02/14 00:00:00,177,
B39H0045,001,1952/02/28 00:00:00,182,
B39H0045,001,1952/03/14 00:00:00,153,
B39H0045,001,1952/03/28 00:00:00,105,
B39H0045,001,1952/04/15 00:00:00,110,
B39H0045,001,1952/04/28 00:00:00,185,
B39H0045,001,1952/05/14 00:00:00,218,
B39H0045,001,1952/05/28 00:00:00,246,
B39H0045,001,1952/06/14 00:00:00,262,
B39H0045,001,1952/06/28 00:00:00,156,
B39H0045,001,1952/07/14 00:00:00,237,
B39H0045,001,1952/07/28 00:00:00,308,
B39H0045,001,1952/08/14 00:00:00,344,
B39H0045,001,1952/08/28 00:00:00,345,
B39H0045,001,1952/09/15 00:00:00,353,
B39H0045,001,1952/09/29 00:00:00,335,
B39H0045,001,1952/10/14 00:00:00,302,
B39H0045,001,1952/10/28 00:00:00,254,
B39H0045,001,1952/11/14 00:00:00,69,
B39H0045,001,1952/11/28 00:00:00,160,
B39H0045,001,1952/12/15 00:00:00,112,
B39H0045,001,1952/12/29 00:00:00,,O
B39H0045,001,1953/01/14 00:00:00,186,
B39H0045,001,1953/01/28 00:00:00,237,
B39H0045,001,1953/02/14 00:00:00,197,
B39H0045,001,1953/02/28 00:00:00,115,
B39H0045,001,1953/03/14 00:00:00,217,
B39H0045,001,1953/03/28 00:00:00,259,
B39H0045,001,1953/04/14 00:00:00,250,
B39H0045,001,1953/04/28 00:00:00,259,
B39H0045,001,1953/05/15 00:00:00,288,
B39H0045,001,1953/05/28 00:00:00,306,
B39H0045,001,1953/12/14 00:00:00,402,
B39H0045,001,1954/04/28 00:00:00,292,
B39H0045,001,1954/10/14 00:00:00,137,
B39H0045,001,1955/04/28 00:00:00,239,
B39H0045,001,1955/10/14 00:00:00,310,
B39H0045,001,1956/04/28 00:00:00,195,
B39H0045,001,1956/10/15 00:00:00,178,
B39H0045,001,1957/04/29 00:00:00,265,
B39H0045,001,1957/10/14 00:00:00,224,
B39H0045,001,1958/04/28 00:00:00,213,
B39H0045,001,1958/08/28 00:00:00,190,
B39H0045,001,1958/10/14 00:00:00,288,
B39H0045,001,1959/04/28 00:00:00,257,
B39H0045,001,1959/08/28 00:00:00,350,
B39H0045,001,1959/10/14 00:00:00,400,
B39H0045,001,1959/12/15 00:00:00,445,
B39H0045,001,1960/04/28 00:00:00,332,
B39H0045,001,1960/08/29 00:00:00,185,
B39H0045,001,1960/10/14 00:00:00,175,
B39H0045,001,1960/12/14 00:00:00,188,
B39H0045,001,1961/04/28 00:00:00,225,
B39H0045,001,1961/08/28 00:00:00,209,
B39H0045,001,1961/10/17 00:00:00,340,
B39H0045,001,1961/12/15 00:00:00,172,
B39H0045,001,1962/04/27 00:00:00,185,
B39H0045,001,1962/08/28 00:00:00,308,
B39H0045,001,1962/10/15 00:00:00,371,
B39H0045,001,1962/12/14 00:00:00,361,
B39H0045,001,1963/04/29 00:00:00,296,
B39H0045,001,1963/08/28 00:00:00,257,
B39H0045,001,1963/10/14 00:00:00,270,
B39H0045,001,1963/12/13 00:00:00,254,
B39H0045,001,1964/04/28 00:00:00,290,
B39H0045,001,1964/08/28 00:00:00,381,
B39H0045,001,1964/10/14 00:00:00,395,
B39H0045,001,1964/12/14 00:00:00,350,
B39H0045,001,1965/04/28 00:00:00,204,
B39H0045,001,1965/08/27 00:00:00,298,
B39H0045,001,1965/10/14 00:00:00,315,
B39H0045,001,1965/12/14 00:00:00,135,
B39H0045,001,1966/04/28 00:00:00,308,
B39H0045,001,1966/08/29 00:00:00,228,
B39H0045,001,1966/10/14 00:00:00,325,
B39H0045,001,1966/12/14 00:00:00,83,
B39H0045,001,1967/04/28 00:00:00,240,
B39H0045,001,1967/08/28 00:00:00,280,
B39H0045,001,1967/10/13 00:00:00,292,
B39H0045,001,1967/12/14 00:00:00,240,
B39H0045,001,1968/04/29 00:00:00,232,
B39H0045,001,1968/08/28 00:00:00,202,
B39H0045,001,1968/10/14 00:00:00,120,
B39H0045,001,1968/12/13 00:00:00,315,
B39H0045,001,1969/04/28 00:00:00,103,
B39H0045,001,1969/08/28 00:00:00,237,
B39H0045,001,1969/10/14 00:00:00,334,
B39H0045,001,1969/12/15 00:00:00,336,
B39H0045,001,1970/04/28 00:00:00,91,
B39H0045,001,1970/08/28 00:00:00,196,
