Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39H0048,001,39HB0048,170300,433700,964,01-12-1945,01-12-1945,14-09-2000,964,0,-36,-1436


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39H0048,001,14-06-1950,413,413,551,,,,,,
B39H0048,001,28-06-1950,411,411,553,,,,,,
B39H0048,001,14-07-1950,435,435,529,,,,,,
B39H0048,001,28-07-1950,453,453,511,,,,,,
B39H0048,001,14-08-1950,452,452,512,,,,,,
B39H0048,001,28-08-1950,461,461,503,,,,,,
B39H0048,001,14-09-1950,435,435,529,,,,,,
B39H0048,001,28-09-1950,409,409,555,,,,,,
B39H0048,001,14-10-1950,442,442,522,,,,,,
B39H0048,001,28-10-1950,461,461,503,,,,,,
B39H0048,001,14-11-1950,435,435,529,,,,,,
B39H0048,001,28-11-1950,272,272,692,,,,,,
B39H0048,001,14-12-1950,258,258,706,,,,,,
B39H0048,001,28-12-1950,344,344,620,,,,,,
B39H0048,001,15-01-1951,290,290,674,,,,,,
B39H0048,001,29-01-1951,218,218,746,,,,,,
B39H0048,001,14-02-1951,340,340,624,,,,,,
B39H0048,001,28-02-1951,292,292,672,,,,,,
B39H0048,001,14-03-1951,365,365,599,,,,,,
B39H0048,001,28-03-1951,275,275,689,,,,,,
B39H0048,001,14-04-1951,272,272,692,,,,,,
B39H0048,001,28-04-1951,350,350,614,,,,,,
B39H0048,001,15-05-1951,369,369,595,,,,,,
B39H0048,001,28-05-1951,375,375,589,,,,,,
B39H0048,001,14-06-1951,359,359,605,,,,,,
B39H0048,001,28-06-1951,330,330,634,,,,,,
B39H0048,001,14-07-1951,360,360,604,,,,,,
B39H0048,001,28-07-1951,350,350,614,,,,,,
B39H0048,001,14-08-1951,360,360,604,,,,,,
B39H0048,001,28-08-1951,387,387,577,,,,,,
B39H0048,001,14-09-1951,420,420,544,,,,,,
B39H0048,001,28-09-1951,444,444,520,,,,,,
B39H0048,001,15-10-1951,476,476,488,,,,,,
B39H0048,001,14-11-1951,492,492,472,,,,,,
B39H0048,001,28-11-1951,360,360,604,,,,,,
B39H0048,001,14-12-1951,359,359,605,,,,,,
B39H0048,001,28-12-1951,390,390,574,,,,,,
B39H0048,001,14-01-1952,282,282,682,,,,,,
B39H0048,001,28-01-1952,324,324,640,,,,,,
B39H0048,001,14-02-1952,318,318,646,,,,,,
B39H0048,001,28-02-1952,325,325,639,,,,,,
B39H0048,001,14-03-1952,300,300,664,,,,,,
B39H0048,001,28-03-1952,262,262,702,,,,,,
B39H0048,001,15-04-1952,273,273,691,,,,,,
B39H0048,001,28-04-1952,330,330,634,,,,,,
B39H0048,001,14-05-1952,362,362,602,,,,,,
B39H0048,001,28-05-1952,389,389,575,,,,,,
B39H0048,001,14-06-1952,405,405,559,,,,,,
B39H0048,001,28-06-1952,400,400,564,,,,,,
B39H0048,001,14-07-1952,421,421,543,,,,,,
B39H0048,001,28-07-1952,450,450,514,,,,,,
B39H0048,001,14-08-1952,490,490,474,,,,,,
B39H0048,001,28-08-1952,488,488,476,,,,,,
B39H0048,001,15-09-1952,497,497,467,,,,,,
B39H0048,001,29-09-1952,481,481,483,,,,,,
B39H0048,001,14-10-1952,443,443,521,,,,,,
B39H0048,001,28-10-1952,393,393,571,,,,,,
B39H0048,001,14-11-1952,229,229,735,,,,,,
B39H0048,001,28-11-1952,303,303,661,,,,,,
B39H0048,001,15-12-1952,272,272,692,,,,,,
B39H0048,001,29-12-1952,175,175,789,,,,,,
B39H0048,001,14-01-1953,330,330,634,,,,,,
B39H0048,001,28-01-1953,380,380,584,,,,,,
B39H0048,001,14-02-1953,341,341,623,,,,,,
B39H0048,001,28-02-1953,272,272,692,,,,,,
B39H0048,001,14-03-1953,355,355,609,,,,,,
B39H0048,001,28-03-1953,400,400,564,,,,,,
B39H0048,001,14-04-1953,390,390,574,,,,,,
B39H0048,001,28-04-1953,403,403,561,,,,,,
B39H0048,001,15-05-1953,430,430,534,,,,,,
B39H0048,001,28-05-1953,448,448,516,,,,,,
B39H0048,001,15-06-1953,402,402,562,,,,,,
B39H0048,001,29-06-1953,322,322,642,,,,,,
B39H0048,001,14-07-1953,295,295,669,,,,,,
B39H0048,001,28-07-1953,333,333,631,,,,,,
B39H0048,001,14-08-1953,370,370,594,,,,,,
B39H0048,001,28-08-1953,405,405,559,,,,,,
B39H0048,001,14-09-1953,467,467,497,,,,,,
B39H0048,001,28-09-1953,484,484,480,,,,,,
B39H0048,001,14-10-1953,496,496,468,,,,,,
B39H0048,001,28-10-1953,518,518,446,,,,,,
