name, screen_number, X, Y, surface_level_m_above_datum, screen_top_m_above_datum, screen_bottom_m_above_datum,begin_date,end_date
HBpb001-1-01_exported,    2.83,169904.96,433163.60,    7.14,    3.83,    2.83,1-1-1998,7-9-2023

Date(dd-mm-yyyy HH:MM:SS),head(m above datum)
01-01-1998  08:00:00,  5.3575
02-01-1998  08:00:00,  5.3496
03-01-1998  08:00:00,  5.3292
04-01-1998  08:00:00,  5.3167
05-01-1998  08:00:00,  5.3341
06-01-1998  08:00:00,  5.4005
07-01-1998  08:00:00,  5.4681
08-01-1998  08:00:00,  5.5136
09-01-1998  08:00:00,  5.5643
10-01-1998  08:00:00,  5.5862
11-01-1998  08:00:00,  5.5765
12-01-1998  08:00:00,  5.5406
13-01-1998  08:00:00,  5.4947
14-01-1998  08:00:00,  5.4425
15-01-1998  08:00:00,  5.3951
16-01-1998  08:00:00,  5.3461
17-01-1998  08:00:00,  5.2994
18-01-1998  08:00:00,  5.2580
19-01-1998  08:00:00,  5.2312
20-01-1998  08:00:00,  5.2428
21-01-1998  08:00:00,  5.2678
22-01-1998  08:00:00,  5.3522
23-01-1998  08:00:00,  5.4601
24-01-1998  08:00:00,  5.5121
25-01-1998  08:00:00,  5.5114
26-01-1998  08:00:00,  5.4816
27-01-1998  08:00:00,  5.4358
28-01-1998  08:00:00,  5.3880
29-01-1998  08:00:00,  5.3377
30-01-1998  08:00:00,  5.2890
31-01-1998  08:00:00,  5.2446
01-02-1998  08:00:00,  5.2025
02-02-1998  08:00:00,  5.1648
03-02-1998  08:00:00,  5.1327
04-02-1998  08:00:00,  5.0980
05-02-1998  08:00:00,  5.0662
06-02-1998  08:00:00,  5.0385
07-02-1998  08:00:00,  5.0149
08-02-1998  08:00:00,  4.9906
09-02-1998  08:00:00,  4.9599
10-02-1998  08:00:00,  4.9307
11-02-1998  08:00:00,  4.9038
12-02-1998  08:00:00,  4.8756
13-02-1998  08:00:00,  4.8481
14-02-1998  08:00:00,  4.8251
15-02-1998  08:00:00,  4.7991
16-02-1998  08:00:00,  4.7739
17-02-1998  08:00:00,  4.7580
18-02-1998  08:00:00,  4.7437
19-02-1998  08:00:00,  4.7337
20-02-1998  08:00:00,  4.7267
21-02-1998  08:00:00,  4.7158
22-02-1998  08:00:00,  4.7079
23-02-1998  08:00:00,  4.6939
24-02-1998  08:00:00,  4.6828
25-02-1998  08:00:00,  4.6660
26-02-1998  08:00:00,  4.6611
27-02-1998  08:00:00,  4.6777
28-02-1998  08:00:00,  4.7078
01-03-1998  08:00:00,  4.7238
02-03-1998  08:00:00,  4.7310
03-03-1998  08:00:00,  4.7403
04-03-1998  08:00:00,  4.7541
05-03-1998  08:00:00,  4.7914
06-03-1998  08:00:00,  4.8397
07-03-1998  08:00:00,  4.8807
08-03-1998  08:00:00,  4.9757
09-03-1998  08:00:00,  5.1074
10-03-1998  08:00:00,  5.2292
11-03-1998  08:00:00,  5.3105
12-03-1998  08:00:00,  5.3534
13-03-1998  08:00:00,  5.3685
14-03-1998  08:00:00,  5.3535
15-03-1998  08:00:00,  5.3140
16-03-1998  08:00:00,  5.2726
17-03-1998  08:00:00,  5.2303
18-03-1998  08:00:00,  5.2077
19-03-1998  08:00:00,  5.1818
20-03-1998  08:00:00,  5.1651
21-03-1998  08:00:00,  5.1613
22-03-1998  08:00:00,  5.1426
23-03-1998  08:00:00,  5.1127
24-03-1998  08:00:00,  5.0857
25-03-1998  08:00:00,  5.0649
26-03-1998  08:00:00,  5.0452
27-03-1998  08:00:00,  5.0247
28-03-1998  08:00:00,  5.0064
29-03-1998  08:00:00,  4.9869
30-03-1998  08:00:00,  4.9633
31-03-1998  08:00:00,  4.9504
01-04-1998  08:00:00,  4.9353
02-04-1998  08:00:00,  4.9223
03-04-1998  08:00:00,  4.9209
04-04-1998  08:00:00,  4.9137
05-04-1998  08:00:00,  4.9154
06-04-1998  08:00:00,  4.9146
07-04-1998  08:00:00,  4.9519
08-04-1998  08:00:00,  4.9941
09-04-1998  08:00:00,  5.0305
10-04-1998  08:00:00,  5.0945
11-04-1998  08:00:00,  5.1764
12-04-1998  08:00:00,  5.2434
13-04-1998  08:00:00,  5.2872
14-04-1998  08:00:00,  5.3125
15-04-1998  08:00:00,  5.3110
16-04-1998  08:00:00,  5.2971
17-04-1998  08:00:00,  5.3103
18-04-1998  08:00:00,  5.3310
19-04-1998  08:00:00,  5.3487
20-04-1998  08:00:00,  5.3629
21-04-1998  08:00:00,  5.3566
22-04-1998  08:00:00,  5.3543
23-04-1998  08:00:00,  5.3597
24-04-1998  08:00:00,  5.3594
25-04-1998  08:00:00,  5.3418
26-04-1998  08:00:00,  5.3187
27-04-1998  08:00:00,  5.3010
28-04-1998  08:00:00,  5.2866
29-04-1998  08:00:00,  5.2771
30-04-1998  08:00:00,  5.3136
01-05-1998  08:00:00,  5.3742
02-05-1998  08:00:00,  5.3892
03-05-1998  08:00:00,  5.3699
04-05-1998  08:00:00,  5.3622
05-05-1998  08:00:00,  5.3588
06-05-1998  08:00:00,  5.3626
07-05-1998  08:00:00,  5.3553
08-05-1998  08:00:00,  5.3289
09-05-1998  08:00:00,  5.2948
10-05-1998  08:00:00,  5.2527
11-05-1998  08:00:00,  5.2134
12-05-1998  08:00:00,  5.1782
13-05-1998  08:00:00,  5.1419
14-05-1998  08:00:00,  5.1078
15-05-1998  08:00:00,  5.0754
16-05-1998  08:00:00,  5.0458
17-05-1998  08:00:00,  5.0189
18-05-1998  08:00:00,  4.9967
19-05-1998  08:00:00,  4.9790
20-05-1998  08:00:00,  4.9598
21-05-1998  08:00:00,  4.9446
22-05-1998  08:00:00,  4.9257
23-05-1998  08:00:00,  4.9111
24-05-1998  08:00:00,  4.8982
25-05-1998  08:00:00,  4.8849
26-05-1998  08:00:00,  4.8776
27-05-1998  08:00:00,  4.8702
28-05-1998  08:00:00,  4.8677
29-05-1998  08:00:00,  4.8549
30-05-1998  08:00:00,  4.8482
31-05-1998  08:00:00,  4.8375
01-06-1998  08:00:00,  4.8333
02-06-1998  08:00:00,  4.8342
03-06-1998  08:00:00,  4.8578
04-06-1998  08:00:00,  4.8784
05-06-1998  08:00:00,  4.8903
06-06-1998  08:00:00,  4.8842
07-06-1998  08:00:00,  4.8734
08-06-1998  08:00:00,  4.8715
09-06-1998  08:00:00,  4.8772
10-06-1998  08:00:00,  4.8741
11-06-1998  08:00:00,  4.8864
12-06-1998  08:00:00,  4.8799
13-06-1998  08:00:00,  4.9020
14-06-1998  08:00:00,  4.9328
15-06-1998  08:00:00,  4.9357
16-06-1998  08:00:00,  4.9516
17-06-1998  08:00:00,  4.9836
18-06-1998  08:00:00,  5.0079
19-06-1998  08:00:00,  5.0119
20-06-1998  08:00:00,  5.0058
21-06-1998  08:00:00,  4.9929
22-06-1998  08:00:00,  4.9773
23-06-1998  08:00:00,  4.9578
24-06-1998  08:00:00,  4.9368
25-06-1998  08:00:00,  4.9201
26-06-1998  08:00:00,  4.9014
27-06-1998  08:00:00,  4.8885
28-06-1998  08:00:00,  4.8730
29-06-1998  08:00:00,  4.8572
30-06-1998  08:00:00,  4.8450
01-07-1998  08:00:00,  4.8321
02-07-1998  08:00:00,  4.8337
03-07-1998  08:00:00,  4.8296
04-07-1998  08:00:00,  4.8122
05-07-1998  08:00:00,  4.7941
06-07-1998  08:00:00,  4.7738
07-07-1998  08:00:00,  4.7593
08-07-1998  08:00:00,  4.7539
09-07-1998  08:00:00,  4.7564
10-07-1998  08:00:00,  4.7664
11-07-1998  08:00:00,  4.7719
12-07-1998  08:00:00,  4.7736
13-07-1998  08:00:00,  4.7756
14-07-1998  08:00:00,  4.7912
15-07-1998  08:00:00,  4.8010
16-07-1998  08:00:00,  4.8078
17-07-1998  08:00:00,  4.8130
18-07-1998  08:00:00,  4.8042
19-07-1998  08:00:00,  4.7946
20-07-1998  08:00:00,  4.7889
21-07-1998  08:00:00,  4.7804
22-07-1998  08:00:00,  4.7684
23-07-1998  08:00:00,  4.7412
24-07-1998  08:00:00,  4.7125
25-07-1998  08:00:00,  4.6852
26-07-1998  08:00:00,  4.6620
27-07-1998  08:00:00,  4.6390
28-07-1998  08:00:00,  4.6228
29-07-1998  08:00:00,  4.6051
30-07-1998  08:00:00,  4.5915
31-07-1998  08:00:00,  4.5826
01-08-1998  08:00:00,  4.5798
02-08-1998  08:00:00,  4.5771
03-08-1998  08:00:00,  4.5720
04-08-1998  08:00:00,  4.5682
05-08-1998  08:00:00,  4.5580
06-08-1998  08:00:00,  4.5469
07-08-1998  08:00:00,  4.5358
08-08-1998  08:00:00,  4.5264
09-08-1998  08:00:00,  4.5095
10-08-1998  08:00:00,  4.4808
11-08-1998  08:00:00,  4.4584
12-08-1998  08:00:00,  4.4347
13-08-1998  08:00:00,  4.4093
14-08-1998  08:00:00,  4.3946
15-08-1998  08:00:00,  4.3746
16-08-1998  08:00:00,  4.3479
17-08-1998  08:00:00,  4.3330
18-08-1998  08:00:00,  4.3136
19-08-1998  08:00:00,  4.2992
20-08-1998  08:00:00,  4.2767
21-08-1998  08:00:00,  4.2631
22-08-1998  08:00:00,  4.2579
23-08-1998  08:00:00,  4.2604
24-08-1998  08:00:00,  4.2633
25-08-1998  08:00:00,  4.2786
26-08-1998  08:00:00,  4.2907
27-08-1998  08:00:00,  4.2924
28-08-1998  08:00:00,  4.3184
29-08-1998  08:00:00,  4.3512
30-08-1998  08:00:00,  4.3717
31-08-1998  08:00:00,  4.3863
01-09-1998  08:00:00,  4.3931
02-09-1998  08:00:00,  4.3958
03-09-1998  08:00:00,  4.3886
04-09-1998  08:00:00,  4.3878
05-09-1998  08:00:00,  4.3863
06-09-1998  08:00:00,  4.3891
07-09-1998  08:00:00,  4.3822
08-09-1998  08:00:00,  4.3891
09-09-1998  08:00:00,  4.4125
10-09-1998  08:00:00,  4.4474
11-09-1998  08:00:00,  4.4971
12-09-1998  08:00:00,  4.5190
13-09-1998  08:00:00,  4.5344
14-09-1998  08:00:00,  4.5733
15-09-1998  08:00:00,  4.6115
16-09-1998  08:00:00,  4.7323
17-09-1998  08:00:00,  4.9499
18-09-1998  08:00:00,  5.1065
19-09-1998  08:00:00,  5.2021
20-09-1998  08:00:00,  5.2691
21-09-1998  08:00:00,  5.2857
22-09-1998  08:00:00,  5.2750
23-09-1998  08:00:00,  5.2477
24-09-1998  08:00:00,  5.2015
25-09-1998  08:00:00,  5.1480
26-09-1998  08:00:00,  5.0943
27-09-1998  08:00:00,  5.0425
28-09-1998  08:00:00,  5.0006
29-09-1998  08:00:00,  4.9649
30-09-1998  08:00:00,  4.9348
01-10-1998  08:00:00,  4.9072
02-10-1998  08:00:00,  4.8835
03-10-1998  08:00:00,  4.8709
04-10-1998  08:00:00,  4.8703
05-10-1998  08:00:00,  4.8801
06-10-1998  08:00:00,  4.9007
07-10-1998  08:00:00,  4.9136
08-10-1998  08:00:00,  4.9116
09-10-1998  08:00:00,  4.9225
10-10-1998  08:00:00,  4.9500
11-10-1998  08:00:00,  4.9862
12-10-1998  08:00:00,  5.0249
13-10-1998  08:00:00,  5.0532
14-10-1998  08:00:00,  5.0808
15-10-1998  08:00:00,  5.1016
16-10-1998  08:00:00,  5.1279
17-10-1998  08:00:00,  5.1537
18-10-1998  08:00:00,  5.1664
19-10-1998  08:00:00,  5.1617
20-10-1998  08:00:00,  5.1521
21-10-1998  08:00:00,  5.1392
22-10-1998  08:00:00,  5.1268
23-10-1998  08:00:00,  5.1239
24-10-1998  08:00:00,  5.1190
25-10-1998  08:00:00,  5.1171
26-10-1998  08:00:00,  5.1581
27-10-1998  08:00:00,  5.2582
28-10-1998  08:00:00,  5.3976
29-10-1998  08:00:00,  5.5388
30-10-1998  08:00:00,  5.6853
31-10-1998  08:00:00,  5.8631
01-11-1998  08:00:00,  6.0244
02-11-1998  08:00:00,  6.1670
03-11-1998  08:00:00,  6.3147
04-11-1998  08:00:00,  6.4251
05-11-1998  08:00:00,  6.5065
06-11-1998  08:00:00,  6.5464
07-11-1998  08:00:00,  6.5625
08-11-1998  08:00:00,  6.5743
09-11-1998  08:00:00,  6.5770
10-11-1998  08:00:00,  6.5684
11-11-1998  08:00:00,  6.5509
12-11-1998  08:00:00,  6.5424
13-11-1998  08:00:00,  6.5341
14-11-1998  08:00:00,  6.5177
15-11-1998  08:00:00,  6.5075
16-11-1998  08:00:00,  6.4994
17-11-1998  08:00:00,  6.4908
18-11-1998  08:00:00,  6.4910
19-11-1998  08:00:00,  6.4980
20-11-1998  08:00:00,  6.5053
21-11-1998  08:00:00,  6.4947
22-11-1998  08:00:00,  6.4674
23-11-1998  08:00:00,  6.4187
24-11-1998  08:00:00,  6.3560
25-11-1998  08:00:00,  6.2924
26-11-1998  08:00:00,  6.2339
27-11-1998  08:00:00,  6.1734
28-11-1998  08:00:00,  6.1224
29-11-1998  08:00:00,  6.0749
30-11-1998  08:00:00,  6.0356
01-12-1998  08:00:00,  6.0047
02-12-1998  08:00:00,  5.9744
03-12-1998  08:00:00,  5.9382
04-12-1998  08:00:00,  5.9073
05-12-1998  08:00:00,  5.8684
06-12-1998  08:00:00,  5.8286
07-12-1998  08:00:00,  5.7877
08-12-1998  08:00:00,  5.7462
09-12-1998  08:00:00,  5.7102
10-12-1998  08:00:00,  5.6758
11-12-1998  08:00:00,  5.6512
12-12-1998  08:00:00,  5.6270
13-12-1998  08:00:00,  5.6105
14-12-1998  08:00:00,  5.6274
15-12-1998  08:00:00,  5.7541
16-12-1998  08:00:00,  5.9476
17-12-1998  08:00:00,  6.0848
18-12-1998  08:00:00,  6.1669
19-12-1998  08:00:00,  6.1986
20-12-1998  08:00:00,  6.1937
21-12-1998  08:00:00,  6.1707
22-12-1998  08:00:00,  6.1562
23-12-1998  08:00:00,  6.1453
24-12-1998  08:00:00,  6.1244
25-12-1998  08:00:00,  6.0932
26-12-1998  08:00:00,  6.0467
27-12-1998  08:00:00,  6.0099
28-12-1998  08:00:00,  5.9739
29-12-1998  08:00:00,  5.9587
