screen name,screen number,X,Y,surface level (m NAP),screen top (m NAP), screen bottom (m NAP),begin date,end date
28AP0093_1,1,224550.34,488100.53,11.6,2.6,1.6,,

Datum(dd-mm-yyyy HH:MM:SS),grondwaterstand NAP Vitens(m NAP)
14-08-1978 12:00,8.44
28-08-1978 12:00,8.4
14-09-1978 12:00,8.33
28-09-1978 12:00,8.4
13-10-1978 12:00,8.36
28-10-1978 12:00,8.34
14-11-1978 12:00,8.31
28-11-1978 12:00,8.28
14-12-1978 12:00,8.27
28-12-1978 12:00,8.33
14-01-1979 12:00,8.51
29-01-1979 12:00,8.54
28-02-1979 12:00,8.68
28-03-1979 12:00,9.03
12-04-1979 12:00,9.0
27-04-1979 12:00,9.0
14-05-1979 12:00,9.17
28-05-1979 12:00,9.04
14-06-1979 12:00,8.85
28-06-1979 12:00,8.97
13-07-1979 12:00,8.89
26-07-1979 12:00,8.85
14-08-1979 12:00,8.81
28-08-1979 12:00,8.69
14-09-1979 12:00,8.64
28-09-1979 12:00,8.59
15-10-1979 12:00,8.53
23-10-1979 12:00,8.51
29-10-1979 12:00,8.51
07-11-1979 12:00,8.5
14-11-1979 12:00,8.52
21-11-1979 12:00,8.56
28-11-1979 12:00,8.57
07-12-1979 12:00,8.57
13-12-1979 12:00,8.81
14-12-1979 12:00,8.6
18-12-1979 12:00,8.68
21-12-1979 12:00,8.7
07-01-1980 12:00,8.88
14-01-1980 12:00,8.95
21-01-1980 12:00,8.89
28-01-1980 12:00,8.86
07-02-1980 12:00,8.96
14-02-1980 12:00,8.86
21-02-1980 12:00,9.1
28-02-1980 12:00,9.09
07-03-1980 12:00,9.04
28-03-1980 12:00,9.03
14-04-1980 12:00,9.16
28-04-1980 12:00,9.07
08-05-1980 12:00,8.99
14-05-1980 12:00,8.97
21-05-1980 12:00,8.92
28-05-1980 12:00,8.89
13-06-1980 12:00,8.81
30-06-1980 12:00,8.75
28-07-1980 12:00,8.98
14-08-1980 12:00,8.99
28-08-1980 12:00,8.91
15-09-1980 12:00,8.81
29-09-1980 12:00,8.76
14-10-1980 12:00,8.72
29-10-1980 12:00,8.71
14-11-1980 12:00,8.73
28-11-1980 12:00,8.94
15-12-1980 12:00,8.96
29-12-1980 12:00,9.05
14-01-1981 12:00,9.25
28-01-1981 12:00,9.36
13-02-1981 12:00,9.37
27-02-1981 12:00,9.28
13-03-1981 12:00,9.56
26-03-1981 12:00,9.68
14-04-1981 12:00,9.48
29-04-1981 12:00,9.37
14-05-1981 12:00,9.26
27-05-1981 12:00,9.2
15-06-1981 12:00,9.12
29-06-1981 12:00,9.03
14-07-1981 12:00,9.03
28-07-1981 12:00,9.03
14-08-1981 12:00,8.96
28-08-1981 12:00,8.89
14-09-1981 12:00,8.81
28-09-1981 12:00,8.78
14-10-1981 12:00,8.76
28-10-1981 12:00,8.9
13-11-1981 12:00,9.06
27-11-1981 12:00,9.06
14-12-1981 12:00,9.39
28-12-1981 12:00,9.26
14-01-1982 12:00,9.37
28-01-1982 12:00,9.28
15-02-1982 12:00,9.43
01-03-1982 12:00,9.33
15-03-1982 12:00,9.5
29-03-1982 12:00,9.45
14-04-1982 12:00,9.37
28-04-1982 12:00,9.29
14-05-1982 12:00,9.21
28-05-1982 12:00,9.15
14-06-1982 12:00,9.06
28-06-1982 12:00,9.06
13-07-1982 12:00,9.01
13-08-1982 12:00,8.82
27-08-1982 12:00,8.75
14-09-1982 12:00,8.68
28-09-1982 12:00,8.62
14-10-1982 12:00,8.6
28-10-1982 12:00,8.57
15-11-1982 12:00,8.55
29-11-1982 12:00,8.71
14-12-1982 12:00,8.8
28-12-1982 12:00,8.96
14-01-1983 12:00,9.1
28-01-1983 12:00,9.21
14-02-1983 12:00,9.35
28-02-1983 12:00,9.25
14-03-1983 12:00,9.21
28-03-1983 12:00,9.34
14-04-1983 12:00,9.44
28-04-1983 12:00,9.39
13-05-1983 12:00,9.47
27-05-1983 12:00,9.69
14-06-1983 12:00,9.59
28-06-1983 12:00,9.44
14-07-1983 12:00,9.31
28-07-1983 12:00,9.22
28-08-1983 12:00,8.99
14-09-1983 12:00,8.91
28-09-1983 12:00,8.87
14-10-1983 12:00,8.84
28-10-1983 12:00,8.82
14-11-1983 12:00,8.77
28-11-1983 12:00,8.82
14-12-1983 12:00,9.08
28-12-1983 12:00,9.21
13-01-1984 12:00,9.59
27-01-1984 12:00,9.64
14-02-1984 12:00,9.9
14-05-1984 12:00,9.43
28-05-1984 12:00,9.68
14-06-1984 12:00,9.68
28-06-1984 12:00,9.6
13-07-1984 12:00,9.48
27-07-1984 12:00,9.4
14-08-1984 12:00,9.29
28-08-1984 12:00,9.17
14-09-1984 12:00,9.15
28-09-1984 12:00,9.19
15-10-1984 12:00,9.38
29-10-1984 12:00,9.56
14-11-1984 12:00,9.44
28-11-1984 12:00,9.67
14-12-1984 12:00,9.53
28-12-1984 12:00,9.57
14-01-1985 12:00,9.49
28-01-1985 12:00,9.7
14-02-1985 12:00,9.59
27-02-1985 12:00,9.45
15-03-1985 12:00,9.51
28-03-1985 12:00,9.48
15-04-1985 12:00,9.61
29-04-1985 12:00,9.58
13-05-1985 12:00,9.51
28-05-1985 12:00,9.56
14-06-1985 12:00,9.5
28-06-1985 12:00,9.53
15-07-1985 12:00,9.42
14-08-1985 12:00,9.29
13-09-1985 12:00,9.23
27-09-1985 12:00,9.18
14-10-1985 12:00,9.12
28-10-1985 12:00,9.07
14-11-1985 12:00,9.09
28-11-1985 12:00,9.1
13-12-1985 12:00,9.16
30-12-1985 12:00,9.35
14-01-1986 12:00,9.46
28-01-1986 12:00,9.76
14-02-1986 12:00,9.5
28-02-1986 12:00,9.36
14-03-1986 12:00,9.28
27-03-1986 12:00,9.42
28-04-1986 12:00,9.48
14-05-1986 12:00,9.41
28-05-1986 12:00,9.3
13-06-1986 12:00,9.25
27-06-1986 12:00,9.21
14-07-1986 12:00,9.07
14-11-1986 12:00,8.79
28-11-1986 12:00,8.85
15-12-1986 12:00,8.86
29-12-1986 12:00,9.08
14-01-1987 12:00,9.56
28-01-1987 12:00,9.39
13-02-1987 12:00,9.37
28-02-1987 12:00,9.37
13-03-1987 12:00,9.43
27-03-1987 12:00,9.68
14-04-1987 12:00,9.51
28-04-1987 12:00,9.4
15-05-1987 12:00,9.22
29-05-1987 12:00,9.26
12-06-1987 12:00,9.35
26-06-1987 12:00,9.35
14-07-1987 12:00,9.16
28-07-1987 12:00,9.15
14-08-1987 12:00,9.16
28-08-1987 12:00,9.25
14-09-1987 12:00,9.16
28-09-1987 12:00,9.15
14-10-1987 12:00,9.28
13-11-1987 12:00,9.22
27-11-1987 12:00,9.56
14-12-1987 12:00,9.42
28-12-1987 12:00,9.61
14-01-1988 12:00,9.87
28-01-1988 12:00,9.94
15-02-1988 12:00,10.12
29-02-1988 12:00,9.99
14-03-1988 12:00,10.13
28-03-1988 12:00,10.24
14-04-1988 12:00,9.93
27-04-1988 12:00,9.78
11-05-1988 12:00,9.66
14-06-1988 12:00,9.4
14-07-1988 12:00,9.29
28-07-1988 12:00,9.56
15-08-1988 12:00,9.33
29-08-1988 12:00,9.48
14-09-1988 12:00,9.32
28-09-1988 12:00,9.37
14-10-1988 12:00,9.52
28-10-1988 12:00,9.39
14-11-1988 12:00,9.34
28-11-1988 12:00,9.33
14-12-1988 12:00,9.6
28-12-1988 12:00,9.77
13-01-1989 12:00,9.7
27-01-1989 12:00,9.6
14-02-1989 12:00,9.51
28-02-1989 12:00,9.62
14-03-1989 12:00,9.71
28-03-1989 12:00,9.83
14-04-1989 12:00,9.7
28-04-1989 12:00,9.71
12-05-1989 12:00,9.54
14-06-1989 12:00,9.26
28-06-1989 12:00,9.14
14-07-1989 12:00,9.04
28-07-1989 12:00,8.94
14-08-1989 12:00,8.95
28-08-1989 12:00,8.9
15-09-1989 12:00,8.86
28-09-1989 12:00,8.83
13-10-1989 12:00,8.8
27-10-1989 12:00,8.79
13-11-1989 12:00,8.79
28-11-1989 12:00,8.76
14-12-1989 12:00,8.74
28-12-1989 12:00,8.93
15-01-1990 12:00,8.89
29-01-1990 12:00,8.96
14-02-1990 12:00,9.06
28-02-1990 12:00,9.22
14-03-1990 12:00,9.34
28-03-1990 12:00,9.24
13-04-1990 12:00,9.15
27-04-1990 12:00,9.09
14-05-1990 12:00,9.01
28-05-1990 12:00,8.93
14-06-1990 12:00,8.85
28-06-1990 12:00,8.79
13-07-1990 12:00,8.75
27-07-1990 12:00,8.69
14-08-1990 12:00,8.61
28-08-1990 12:00,8.53
14-09-1990 12:00,8.52
15-10-1990 12:00,8.49
29-10-1990 12:00,8.47
14-11-1990 12:00,8.46
28-11-1990 12:00,8.75
14-12-1990 12:00,8.85
28-12-1990 12:00,8.9
14-01-1991 12:00,9.12
28-01-1991 12:00,9.06
14-02-1991 12:00,8.94
01-03-1991 12:00,8.93
14-03-1991 12:00,8.9
28-03-1991 12:00,8.85
15-04-1991 12:00,8.77
29-04-1991 12:00,8.72
14-05-1991 12:00,8.66
28-05-1991 12:00,8.6
15-07-1991 12:00,8.74
29-07-1991 12:00,8.63
14-08-1991 12:00,8.51
28-08-1991 12:00,8.44
13-09-1991 12:00,8.34
27-09-1991 12:00,8.21
14-10-1991 12:00,8.28
28-10-1991 12:00,8.26
29-11-1991 12:00,8.46
13-12-1991 12:00,8.47
14-01-1992 12:00,8.67
28-01-1992 12:00,8.71
14-02-1992 12:00,8.69
28-02-1992 12:00,8.66
13-03-1992 12:00,8.69
27-03-1992 12:00,8.89
14-04-1992 12:00,8.86
28-04-1992 12:00,8.82
14-05-1992 12:00,8.79
28-05-1992 12:00,8.73
15-06-1992 12:00,8.66
29-06-1992 12:00,8.58
14-07-1992 12:00,8.5
28-07-1992 12:00,8.45
28-08-1992 12:00,8.39
28-09-1992 12:00,8.5
14-10-1992 12:00,8.42
29-10-1992 12:00,8.44
13-11-1992 12:00,8.49
27-11-1992 12:00,8.76
14-12-1992 12:00,8.98
28-12-1992 12:00,9.0
14-01-1993 12:00,9.05
28-01-1993 12:00,9.15
15-02-1993 12:00,9.19
01-03-1993 12:00,9.19
15-03-1993 12:00,9.0
29-03-1993 12:00,9.02
14-04-1993 12:00,8.96
28-04-1993 12:00,8.9
14-05-1993 12:00,8.9
28-05-1993 12:00,8.91
14-06-1993 12:00,8.86
28-06-1993 12:00,8.8
14-07-1993 12:00,8.73
28-07-1993 12:00,8.84
28-08-1993 12:00,8.99
14-09-1993 12:00,8.97
14-10-1993 12:00,9.48
28-10-1993 12:00,9.47
15-11-1993 12:00,9.43
29-11-1993 12:00,9.36
13-12-1993 12:00,9.56
28-12-1993 12:00,9.91
14-01-1994 12:00,10.05
28-01-1994 12:00,10.22
14-02-1994 12:00,9.99
28-02-1994 12:00,9.82
14-03-1994 12:00,9.93
28-03-1994 12:00,10.26
14-04-1994 12:00,10.31
