Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,04-01-1946,14-10-1969,817,0,67,-1483
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,14-10-1969,14-09-2000,831,14,67,-1483


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39G0027,001,14-06-1950,204,204,613,,,,,,
B39G0027,001,28-06-1950,208,208,609,,,,,,
B39G0027,001,14-07-1950,222,222,595,,,,,,
B39G0027,001,28-07-1950,237,237,580,,,,,,
B39G0027,001,14-08-1950,241,241,576,,,,,,
B39G0027,001,28-08-1950,252,252,565,,,,,,
B39G0027,001,14-09-1950,293,293,524,,,,,,
B39G0027,001,28-09-1950,199,199,618,,,,,,
B39G0027,001,14-10-1950,225,225,592,,,,,,
B39G0027,001,28-10-1950,247,247,570,,,,,,
B39G0027,001,14-11-1950,215,215,602,,,,,,
B39G0027,001,28-11-1950,125,125,692,,,,,,
B39G0027,001,14-12-1950,100,100,717,,,,,,
B39G0027,001,28-12-1950,151,151,666,,,,,,
B39G0027,001,15-01-1951,122,122,695,,,,,,
B39G0027,001,29-01-1951,98,98,719,,,,,,
B39G0027,001,14-02-1951,152,152,665,,,,,,
B39G0027,001,28-02-1951,131,131,686,,,,,,
B39G0027,001,14-03-1951,163,163,654,,,,,,
B39G0027,001,28-03-1951,119,119,698,,,,,,
B39G0027,001,14-04-1951,119,119,698,,,,,,
B39G0027,001,28-04-1951,158,158,659,,,,,,
B39G0027,001,15-05-1951,170,170,647,,,,,,
B39G0027,001,28-05-1951,173,173,644,,,,,,
B39G0027,001,14-06-1951,175,175,642,,,,,,
B39G0027,001,28-06-1951,174,174,643,,,,,,
B39G0027,001,14-07-1951,170,170,647,,,,,,
B39G0027,001,28-07-1951,165,165,652,,,,,,
B39G0027,001,14-08-1951,205,205,612,,,,,,
B39G0027,001,28-08-1951,187,187,630,,,,,,
B39G0027,001,14-09-1951,210,210,607,,,,,,
B39G0027,001,28-09-1951,227,227,590,,,,,,
B39G0027,001,15-10-1951,252,252,565,,,,,,
B39G0027,001,14-11-1951,272,272,545,,,,,,
B39G0027,001,28-11-1951,180,180,637,,,,,,
B39G0027,001,14-12-1951,170,170,647,,,,,,
B39G0027,001,28-12-1951,175,175,642,,,,,,
B39G0027,001,14-01-1952,134,134,683,,,,,,
B39G0027,001,28-01-1952,143,143,674,,,,,,
B39G0027,001,14-02-1952,145,145,672,,,,,,
B39G0027,001,28-02-1952,152,152,665,,,,,,
B39G0027,001,14-03-1952,140,140,677,,,,,,
B39G0027,001,28-03-1952,120,120,697,,,,,,
B39G0027,001,15-04-1952,119,119,698,,,,,,
B39G0027,001,28-04-1952,153,153,664,,,,,,
B39G0027,001,14-05-1952,175,175,642,,,,,,
B39G0027,001,28-05-1952,198,198,619,,,,,,
B39G0027,001,14-06-1952,200,200,617,,,,,,
B39G0027,001,28-06-1952,202,202,615,,,,,,
B39G0027,001,14-07-1952,211,211,606,,,,,,
B39G0027,001,28-07-1952,234,234,583,,,,,,
B39G0027,001,14-08-1952,260,260,557,,,,,,
B39G0027,001,28-08-1952,262,262,555,,,,,,
B39G0027,001,15-09-1952,273,273,544,,,,,,
B39G0027,001,29-09-1952,268,268,549,,,,,,
B39G0027,001,14-10-1952,243,243,574,,,,,,
B39G0027,001,28-10-1952,218,218,599,,,,,,
B39G0027,001,14-11-1952,109,109,708,,,,,,
B39G0027,001,28-11-1952,137,137,680,,,,,,
B39G0027,001,15-12-1952,118,118,699,,,,,,
B39G0027,001,29-12-1952,75,75,742,,,,,,
B39G0027,001,14-01-1953,144,144,673,,,,,,
B39G0027,001,28-01-1953,174,174,643,,,,,,
B39G0027,001,14-02-1953,147,147,670,,,,,,
B39G0027,001,28-02-1953,130,130,687,,,,,,
B39G0027,001,14-03-1953,161,161,656,,,,,,
B39G0027,001,28-03-1953,190,190,627,,,,,,
B39G0027,001,14-04-1953,188,188,629,,,,,,
B39G0027,001,28-04-1953,200,200,617,,,,,,
B39G0027,001,15-05-1953,219,219,598,,,,,,
B39G0027,001,28-05-1953,236,236,581,,,,,,
B39G0027,001,14-12-1953,319,319,498,,,,,,
B39G0027,001,28-04-1954,228,228,589,,,,,,
B39G0027,001,14-10-1954,130,130,687,,,,,,
B39G0027,001,28-04-1955,183,183,634,,,,,,
B39G0027,001,14-10-1955,244,244,573,,,,,,
B39G0027,001,28-04-1956,175,175,642,,,,,,
B39G0027,001,15-10-1956,164,164,653,,,,,,
B39G0027,001,29-04-1957,211,211,606,,,,,,
