Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/09/23 15:58:00,488,
HBpb003-1,001,2021/09/23 16:58:00,488,
HBpb003-1,001,2021/09/23 17:58:00,487,
HBpb003-1,001,2021/09/23 18:58:00,487,
HBpb003-1,001,2021/09/23 19:58:00,487,
HBpb003-1,001,2021/09/23 20:58:00,486,
HBpb003-1,001,2021/09/23 21:58:00,486,
HBpb003-1,001,2021/09/23 22:58:00,486,
HBpb003-1,001,2021/09/23 23:58:00,486,
HBpb003-1,001,2021/09/24 00:58:00,486,
HBpb003-1,001,2021/09/24 01:58:00,486,
HBpb003-1,001,2021/09/24 02:58:00,486,
HBpb003-1,001,2021/09/24 03:58:00,486,
HBpb003-1,001,2021/09/24 04:58:00,486,
HBpb003-1,001,2021/09/24 05:58:00,485,
HBpb003-1,001,2021/09/24 06:58:00,486,
HBpb003-1,001,2021/09/24 07:58:00,486,
HBpb003-1,001,2021/09/24 08:58:00,485,
HBpb003-1,001,2021/09/24 09:58:00,485,
HBpb003-1,001,2021/09/24 10:58:00,485,
HBpb003-1,001,2021/09/24 11:58:00,485,
HBpb003-1,001,2021/09/24 12:58:00,485,
HBpb003-1,001,2021/09/24 13:58:00,485,
HBpb003-1,001,2021/09/24 14:58:00,485,
HBpb003-1,001,2021/09/24 15:58:00,485,
HBpb003-1,001,2021/09/24 16:58:00,485,
HBpb003-1,001,2021/09/24 17:58:00,485,
HBpb003-1,001,2021/09/24 18:58:00,485,
HBpb003-1,001,2021/09/24 19:58:00,484,
HBpb003-1,001,2021/09/24 20:58:00,484,
HBpb003-1,001,2021/09/24 21:58:00,484,
HBpb003-1,001,2021/09/24 22:58:00,484,
HBpb003-1,001,2021/09/24 23:58:00,484,
HBpb003-1,001,2021/09/25 00:58:00,484,
HBpb003-1,001,2021/09/25 01:58:00,484,
HBpb003-1,001,2021/09/25 02:58:00,484,
HBpb003-1,001,2021/09/25 03:58:00,483,
HBpb003-1,001,2021/09/25 04:58:00,484,
HBpb003-1,001,2021/09/25 05:58:00,484,
HBpb003-1,001,2021/09/25 06:58:00,484,
HBpb003-1,001,2021/09/25 07:58:00,484,
HBpb003-1,001,2021/09/25 08:58:00,483,
HBpb003-1,001,2021/09/25 09:58:00,483,
HBpb003-1,001,2021/09/25 10:58:00,483,
HBpb003-1,001,2021/09/25 11:58:00,483,
HBpb003-1,001,2021/09/25 12:58:00,483,
