name, screen_number, X, Y, surface_level_m_above_datum, screen_top_m_above_datum, screen_bottom_m_above_datum,begin_date,end_date
B39D0221-01_exported,    0.62,156292.00,432916.00,    4.49,    5.11,    0.62,1-1-1998,7-9-2023

Date(dd-mm-yyyy HH:MM:SS),head(m above datum)
1-1-1998  08:00:00,  3.3729
2-1-1998  08:00:00,  3.3747
3-1-1998  08:00:00,  3.3689
4-1-1998  08:00:00,  3.3636
5-1-1998  08:00:00,  3.3765
6-1-1998  08:00:00,  3.3971
7-1-1998  08:00:00,  3.4225
8-1-1998  08:00:00,  3.4324
9-1-1998  08:00:00,  3.4443
10-1-1998  08:00:00,  3.4454
11-1-1998  08:00:00,  3.4349
12-1-1998  08:00:00,  3.4151
13-1-1998  08:00:00,  3.3936
14-1-1998  08:00:00,  3.3718
15-1-1998  08:00:00,  3.3518
16-1-1998  08:00:00,  3.3311
17-1-1998  08:00:00,  3.3133
18-1-1998  08:00:00,  3.3019
19-1-1998  08:00:00,  3.2916
20-1-1998  08:00:00,  3.2941
21-1-1998  08:00:00,  3.3015
22-1-1998  08:00:00,  3.3325
23-1-1998  08:00:00,  3.3716
24-1-1998  08:00:00,  3.3862
25-1-1998  08:00:00,  3.3803
26-1-1998  08:00:00,  3.3640
27-1-1998  08:00:00,  3.3432
28-1-1998  08:00:00,  3.3232
29-1-1998  08:00:00,  3.3023
30-1-1998  08:00:00,  3.2836
31-1-1998  08:00:00,  3.2650
1-2-1998  08:00:00,  3.2496
2-2-1998  08:00:00,  3.2373
3-2-1998  08:00:00,  3.2236
4-2-1998  08:00:00,  3.2096
5-2-1998  08:00:00,  3.1972
6-2-1998  08:00:00,  3.1879
7-2-1998  08:00:00,  3.1813
8-2-1998  08:00:00,  3.1710
9-2-1998  08:00:00,  3.1588
10-2-1998  08:00:00,  3.1476
11-2-1998  08:00:00,  3.1373
12-2-1998  08:00:00,  3.1266
13-2-1998  08:00:00,  3.1163
14-2-1998  08:00:00,  3.1079
15-2-1998  08:00:00,  3.0986
16-2-1998  08:00:00,  3.0898
17-2-1998  08:00:00,  3.0844
18-2-1998  08:00:00,  3.0794
19-2-1998  08:00:00,  3.0762
20-2-1998  08:00:00,  3.0754
21-2-1998  08:00:00,  3.0743
22-2-1998  08:00:00,  3.0713
23-2-1998  08:00:00,  3.0662
24-2-1998  08:00:00,  3.0620
25-2-1998  08:00:00,  3.0558
26-2-1998  08:00:00,  3.0574
27-2-1998  08:00:00,  3.0690
28-2-1998  08:00:00,  3.0809
1-3-1998  08:00:00,  3.0911
2-3-1998  08:00:00,  3.1024
3-3-1998  08:00:00,  3.1205
4-3-1998  08:00:00,  3.1313
5-3-1998  08:00:00,  3.1663
6-3-1998  08:00:00,  3.2097
7-3-1998  08:00:00,  3.2112
8-3-1998  08:00:00,  3.2412
9-3-1998  08:00:00,  3.2876
10-3-1998  08:00:00,  3.3325
11-3-1998  08:00:00,  3.3571
12-3-1998  08:00:00,  3.3651
13-3-1998  08:00:00,  3.3647
14-3-1998  08:00:00,  3.3520
15-3-1998  08:00:00,  3.3308
16-3-1998  08:00:00,  3.3105
17-3-1998  08:00:00,  3.2905
18-3-1998  08:00:00,  3.2791
19-3-1998  08:00:00,  3.2669
20-3-1998  08:00:00,  3.2591
21-3-1998  08:00:00,  3.2570
22-3-1998  08:00:00,  3.2503
23-3-1998  08:00:00,  3.2358
24-3-1998  08:00:00,  3.2233
25-3-1998  08:00:00,  3.2154
26-3-1998  08:00:00,  3.2095
27-3-1998  08:00:00,  3.2000
28-3-1998  08:00:00,  3.1916
29-3-1998  08:00:00,  3.1828
30-3-1998  08:00:00,  3.1727
31-3-1998  08:00:00,  3.1695
1-4-1998  08:00:00,  3.1694
2-4-1998  08:00:00,  3.1722
3-4-1998  08:00:00,  3.1819
4-4-1998  08:00:00,  3.1832
5-4-1998  08:00:00,  3.1862
6-4-1998  08:00:00,  3.1877
7-4-1998  08:00:00,  3.2080
8-4-1998  08:00:00,  3.2186
9-4-1998  08:00:00,  3.2286
10-4-1998  08:00:00,  3.2516
11-4-1998  08:00:00,  3.2825
12-4-1998  08:00:00,  3.3055
13-4-1998  08:00:00,  3.3216
14-4-1998  08:00:00,  3.3296
15-4-1998  08:00:00,  3.3320
16-4-1998  08:00:00,  3.3192
17-4-1998  08:00:00,  3.3208
18-4-1998  08:00:00,  3.3246
19-4-1998  08:00:00,  3.3305
20-4-1998  08:00:00,  3.3366
21-4-1998  08:00:00,  3.3278
22-4-1998  08:00:00,  3.3228
23-4-1998  08:00:00,  3.3227
24-4-1998  08:00:00,  3.3259
25-4-1998  08:00:00,  3.3254
26-4-1998  08:00:00,  3.3134
27-4-1998  08:00:00,  3.3099
28-4-1998  08:00:00,  3.3002
29-4-1998  08:00:00,  3.2929
30-4-1998  08:00:00,  3.3050
1-5-1998  08:00:00,  3.3260
2-5-1998  08:00:00,  3.3280
3-5-1998  08:00:00,  3.3162
4-5-1998  08:00:00,  3.3116
5-5-1998  08:00:00,  3.3122
6-5-1998  08:00:00,  3.3128
7-5-1998  08:00:00,  3.3058
8-5-1998  08:00:00,  3.2917
9-5-1998  08:00:00,  3.2755
10-5-1998  08:00:00,  3.2568
11-5-1998  08:00:00,  3.2399
12-5-1998  08:00:00,  3.2250
13-5-1998  08:00:00,  3.2097
