name, screen_number, X, Y, surface_level_m_above_datum, screen_top_m_above_datum, screen_bottom_m_above_datum,begin_date,end_date
B39D2737-01_exported,   -0.06,157642.00,433072.00,    5.14,    5.09,   -0.06,1-1-1998,7-9-2023

Date(dd-mm-yyyy HH:MM:SS),head(m above datum)
01-01-1998  08:00:00,  3.8665
02-01-1998  08:00:00,  3.8494
03-01-1998  08:00:00,  3.8241
04-01-1998  08:00:00,  3.8086
05-01-1998  08:00:00,  3.8207
06-01-1998  08:00:00,  3.8780
07-01-1998  08:00:00,  3.9318
08-01-1998  08:00:00,  3.9639
09-01-1998  08:00:00,  4.0002
10-01-1998  08:00:00,  4.0091
11-01-1998  08:00:00,  3.9901
12-01-1998  08:00:00,  3.9492
13-01-1998  08:00:00,  3.9019
14-01-1998  08:00:00,  3.8511
15-01-1998  08:00:00,  3.8070
16-01-1998  08:00:00,  3.7627
17-01-1998  08:00:00,  3.7214
18-01-1998  08:00:00,  3.6856
19-01-1998  08:00:00,  3.6646
20-01-1998  08:00:00,  3.6783
21-01-1998  08:00:00,  3.7015
22-01-1998  08:00:00,  3.7769
23-01-1998  08:00:00,  3.8690
24-01-1998  08:00:00,  3.9057
25-01-1998  08:00:00,  3.8947
26-01-1998  08:00:00,  3.8600
27-01-1998  08:00:00,  3.8136
28-01-1998  08:00:00,  3.7680
29-01-1998  08:00:00,  3.7221
30-01-1998  08:00:00,  3.6791
31-01-1998  08:00:00,  3.6415
01-02-1998  08:00:00,  3.6060
02-02-1998  08:00:00,  3.5751
03-02-1998  08:00:00,  3.5504
04-02-1998  08:00:00,  3.5231
05-02-1998  08:00:00,  3.4979
06-02-1998  08:00:00,  3.4764
07-02-1998  08:00:00,  3.4589
08-02-1998  08:00:00,  3.4409
09-02-1998  08:00:00,  3.4170
10-02-1998  08:00:00,  3.3948
11-02-1998  08:00:00,  3.3749
12-02-1998  08:00:00,  3.3541
13-02-1998  08:00:00,  3.3337
14-02-1998  08:00:00,  3.3174
15-02-1998  08:00:00,  3.2982
16-02-1998  08:00:00,  3.2800
17-02-1998  08:00:00,  3.2707
18-02-1998  08:00:00,  3.2621
19-02-1998  08:00:00,  3.2572
20-02-1998  08:00:00,  3.2544
21-02-1998  08:00:00,  3.2474
22-02-1998  08:00:00,  3.2438
23-02-1998  08:00:00,  3.2343
