Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,25-03-1986,01-03-1998,511,62,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,01-03-1998,13-04-2015,516,67,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,13-04-2015,31-12-2019,464,15,-164,-356


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,001,28-05-1986,174,112,337,,,,,,
B39D0221,001,16-06-1986,162,100,349,,,,,,
B39D0221,001,30-06-1986,175,113,336,,,,,,
B39D0221,001,14-07-1986,188,126,323,,,,,,
B39D0221,001,28-07-1986,191,129,320,,,,,,
B39D0221,001,14-08-1986,206,144,305,,,,,,
B39D0221,001,28-08-1986,201,139,310,,,,,,
B39D0221,001,15-09-1986,205,143,306,,,,,,
B39D0221,001,29-09-1986,200,138,311,,,,,,
B39D0221,001,14-10-1986,225,163,286,,,,,,
B39D0221,001,28-10-1986,185,123,326,,,,,,
B39D0221,001,14-11-1986,203,141,308,,,,,,
B39D0221,001,28-11-1986,202,140,309,,,,,,
B39D0221,001,15-12-1986,217,155,294,,,,,,
B39D0221,001,29-12-1986,185,123,326,,,,,,
B39D0221,001,14-01-1987,165,103,346,,,,,,
B39D0221,001,28-01-1987,200,138,311,,,,,,
B39D0221,001,13-02-1987,200,138,311,,,,,,
B39D0221,001,27-02-1987,210,148,301,,,,,,
B39D0221,001,13-03-1987,177,115,334,,,,,,
B39D0221,001,27-03-1987,172,110,339,,,,,,
B39D0221,001,14-04-1987,180,118,331,,,,,,
B39D0221,001,28-04-1987,184,122,327,,,,,,
B39D0221,001,14-05-1987,177,115,334,,,,,,
B39D0221,001,27-05-1987,177,115,334,,,,,,
B39D0221,001,15-06-1987,168,106,343,,,,,,
B39D0221,001,29-06-1987,151,89,360,,,,,,
B39D0221,001,14-07-1987,170,108,341,,,,,,
B39D0221,001,28-07-1987,170,108,341,,,,,,
B39D0221,001,14-08-1987,172,110,339,,,,,,
B39D0221,001,28-08-1987,180,118,331,,,,,,
B39D0221,001,14-09-1987,180,118,331,,,,,,
B39D0221,001,28-09-1987,206,144,305,,,,,,
B39D0221,001,14-10-1987,187,125,324,,,,,,
B39D0221,001,29-10-1987,198,136,313,,,,,,
B39D0221,001,13-11-1987,210,148,301,,,,,,
B39D0221,001,27-11-1987,190,128,321,,,,,,
B39D0221,001,14-12-1987,205,143,306,,,,,,
B39D0221,001,28-12-1987,181,119,330,,,,,,
B39D0221,001,14-01-1988,180,118,331,,,,,,
B39D0221,001,28-01-1988,170,108,341,,,,,,
B39D0221,001,15-02-1988,154,92,357,,,,,,
B39D0221,001,29-02-1988,182,120,329,,,,,,
B39D0221,001,14-03-1988,180,118,331,,,,,,
B39D0221,001,28-03-1988,150,88,361,,,,,,
B39D0221,001,14-04-1988,160,98,351,,,,,,
B39D0221,001,28-04-1988,170,108,341,,,,,,
B39D0221,001,16-05-1988,180,118,331,,,,,,
B39D0221,001,27-05-1988,179,117,332,,,,,,
B39D0221,001,14-06-1988,180,118,331,,,,,,
B39D0221,001,28-06-1988,190,128,321,,,,,,
B39D0221,001,14-07-1988,220,158,291,,,,,,
B39D0221,001,28-07-1988,191,129,320,,,,,,
B39D0221,001,15-08-1988,198,136,313,,,,,,
B39D0221,001,29-08-1988,200,138,311,,,,,,
B39D0221,001,14-09-1988,200,138,311,,,,,,
B39D0221,001,28-09-1988,192,130,319,,,,,,
B39D0221,001,14-10-1988,195,133,316,,,,,,
B39D0221,001,28-10-1988,197,135,314,,,,,,
B39D0221,001,14-11-1988,212,150,299,,,,,,
B39D0221,001,14-12-1988,177,115,334,,,,,,
B39D0221,001,27-12-1988,175,113,336,,,,,,
B39D0221,001,13-01-1989,202,140,309,,,,,,
B39D0221,001,27-01-1989,220,158,291,,,,,,
B39D0221,001,14-02-1989,230,168,281,,,,,,
B39D0221,001,28-02-1989,210,148,301,,,,,,
B39D0221,001,14-03-1989,192,130,319,,,,,,
B39D0221,001,28-03-1989,193,131,318,,,,,,
B39D0221,001,14-04-1989,178,116,333,,,,,,
B39D0221,001,28-04-1989,167,105,344,,,,,,
B39D0221,001,16-05-1989,185,123,326,,,,,,
B39D0221,001,29-05-1989,200,138,311,,,,,,
B39D0221,001,14-06-1989,202,140,309,,,,,,
B39D0221,001,28-06-1989,210,148,301,,,,,,
B39D0221,001,14-07-1989,205,143,306,,,,,,
B39D0221,001,28-07-1989,208,146,303,,,,,,
