name, screen_number, X, Y, surface_level_m_above_datum, screen_top_m_above_datum, screen_bottom_m_above_datum,begin_date,end_date
B39D2706-01_exported,   -0.06,157281.00,433522.00,    5.35,    5.30,   -0.06,1-1-1998,7-9-2023

Date(dd-mm-yyyy HH:MM:SS),head(m above datum)
1-1-1998  08:00:00,  3.5651
2-1-1998  08:00:00,  3.5712
3-1-1998  08:00:00,  3.5717
4-1-1998  08:00:00,  3.5718
5-1-1998  08:00:00,  3.5826
6-1-1998  08:00:00,  3.6029
7-1-1998  08:00:00,  3.6268
8-1-1998  08:00:00,  3.6426
9-1-1998  08:00:00,  3.6591
10-1-1998  08:00:00,  3.6678
11-1-1998  08:00:00,  3.6669
12-1-1998  08:00:00,  3.6573
13-1-1998  08:00:00,  3.6439
14-1-1998  08:00:00,  3.6283
15-1-1998  08:00:00,  3.6128
16-1-1998  08:00:00,  3.5959
17-1-1998  08:00:00,  3.5799
18-1-1998  08:00:00,  3.5672
19-1-1998  08:00:00,  3.5565
20-1-1998  08:00:00,  3.5557
21-1-1998  08:00:00,  3.5597
22-1-1998  08:00:00,  3.5819
23-1-1998  08:00:00,  3.6133
24-1-1998  08:00:00,  3.6305
25-1-1998  08:00:00,  3.6323
26-1-1998  08:00:00,  3.6245
27-1-1998  08:00:00,  3.6109
28-1-1998  08:00:00,  3.5958
29-1-1998  08:00:00,  3.5788
30-1-1998  08:00:00,  3.5620
31-1-1998  08:00:00,  3.5452
1-2-1998  08:00:00,  3.5295
2-2-1998  08:00:00,  3.5157
3-2-1998  08:00:00,  3.5018
4-2-1998  08:00:00,  3.4875
5-2-1998  08:00:00,  3.4739
6-2-1998  08:00:00,  3.4624
7-2-1998  08:00:00,  3.4526
8-2-1998  08:00:00,  3.4414
9-2-1998  08:00:00,  3.4285
10-2-1998  08:00:00,  3.4160
11-2-1998  08:00:00,  3.4042
12-2-1998  08:00:00,  3.3921
13-2-1998  08:00:00,  3.3801
14-2-1998  08:00:00,  3.3694
15-2-1998  08:00:00,  3.3582
16-2-1998  08:00:00,  3.3473
17-2-1998  08:00:00,  3.3391
18-2-1998  08:00:00,  3.3314
19-2-1998  08:00:00,  3.3253
20-2-1998  08:00:00,  3.3210
21-2-1998  08:00:00,  3.3166
22-2-1998  08:00:00,  3.3119
23-2-1998  08:00:00,  3.3056
24-2-1998  08:00:00,  3.2999
25-2-1998  08:00:00,  3.2928
26-2-1998  08:00:00,  3.2905
27-2-1998  08:00:00,  3.2955
28-2-1998  08:00:00,  3.3033
1-3-1998  08:00:00,  3.3098
2-3-1998  08:00:00,  3.3165
3-3-1998  08:00:00,  3.3272
4-3-1998  08:00:00,  3.3357
5-3-1998  08:00:00,  3.3580
6-3-1998  08:00:00,  3.3877
7-3-1998  08:00:00,  3.3989
8-3-1998  08:00:00,  3.4262
9-3-1998  08:00:00,  3.4667
10-3-1998  08:00:00,  3.5084
11-3-1998  08:00:00,  3.5383
12-3-1998  08:00:00,  3.5558
13-3-1998  08:00:00,  3.5650
14-3-1998  08:00:00,  3.5637
15-3-1998  08:00:00,  3.5537
16-3-1998  08:00:00,  3.5416
17-3-1998  08:00:00,  3.5281
18-3-1998  08:00:00,  3.5194
19-3-1998  08:00:00,  3.5098
20-3-1998  08:00:00,  3.5030
21-3-1998  08:00:00,  3.5001
22-3-1998  08:00:00,  3.4942
23-3-1998  08:00:00,  3.4831
24-3-1998  08:00:00,  3.4724
25-3-1998  08:00:00,  3.4640
26-3-1998  08:00:00,  3.4570
27-3-1998  08:00:00,  3.4483
28-3-1998  08:00:00,  3.4400
29-3-1998  08:00:00,  3.4312
30-3-1998  08:00:00,  3.4213
31-3-1998  08:00:00,  3.4155
1-4-1998  08:00:00,  3.4115
2-4-1998  08:00:00,  3.4097
3-4-1998  08:00:00,  3.4128
4-4-1998  08:00:00,  3.4123
5-4-1998  08:00:00,  3.4132
6-4-1998  08:00:00,  3.4132
7-4-1998  08:00:00,  3.4260
8-4-1998  08:00:00,  3.4364
9-4-1998  08:00:00,  3.4462
10-4-1998  08:00:00,  3.4652
11-4-1998  08:00:00,  3.4912
12-4-1998  08:00:00,  3.5138
13-4-1998  08:00:00,  3.5315
14-4-1998  08:00:00,  3.5433
15-4-1998  08:00:00,  3.5491
16-4-1998  08:00:00,  3.5454
17-4-1998  08:00:00,  3.5491
18-4-1998  08:00:00,  3.5548
19-4-1998  08:00:00,  3.5614
20-4-1998  08:00:00,  3.5680
21-4-1998  08:00:00,  3.5654
22-4-1998  08:00:00,  3.5637
23-4-1998  08:00:00,  3.5647
24-4-1998  08:00:00,  3.5671
25-4-1998  08:00:00,  3.5663
26-4-1998  08:00:00,  3.5592
27-4-1998  08:00:00,  3.5554
28-4-1998  08:00:00,  3.5489
29-4-1998  08:00:00,  3.5434
30-4-1998  08:00:00,  3.5515
1-5-1998  08:00:00,  3.5678
2-5-1998  08:00:00,  3.5725
3-5-1998  08:00:00,  3.5666
4-5-1998  08:00:00,  3.5637
5-5-1998  08:00:00,  3.5637
6-5-1998  08:00:00,  3.5646
7-5-1998  08:00:00,  3.5607
8-5-1998  08:00:00,  3.5507
9-5-1998  08:00:00,  3.5380
10-5-1998  08:00:00,  3.5223
11-5-1998  08:00:00,  3.5069
12-5-1998  08:00:00,  3.4924
13-5-1998  08:00:00,  3.4773
14-5-1998  08:00:00,  3.4628
15-5-1998  08:00:00,  3.4487
16-5-1998  08:00:00,  3.4355
17-5-1998  08:00:00,  3.4231
18-5-1998  08:00:00,  3.4123
19-5-1998  08:00:00,  3.4032
20-5-1998  08:00:00,  3.3944
21-5-1998  08:00:00,  3.3867
22-5-1998  08:00:00,  3.3785
23-5-1998  08:00:00,  3.3718
24-5-1998  08:00:00,  3.3656
25-5-1998  08:00:00,  3.3619
26-5-1998  08:00:00,  3.3626
27-5-1998  08:00:00,  3.3629
28-5-1998  08:00:00,  3.3679
29-5-1998  08:00:00,  3.3607
30-5-1998  08:00:00,  3.3556
31-5-1998  08:00:00,  3.3495
1-6-1998  08:00:00,  3.3464
2-6-1998  08:00:00,  3.3473
3-6-1998  08:00:00,  3.3533
4-6-1998  08:00:00,  3.3596
5-6-1998  08:00:00,  3.3692
6-6-1998  08:00:00,  3.3733
7-6-1998  08:00:00,  3.3690
8-6-1998  08:00:00,  3.3684
9-6-1998  08:00:00,  3.3726
10-6-1998  08:00:00,  3.3744
11-6-1998  08:00:00,  3.3847
12-6-1998  08:00:00,  3.3830
13-6-1998  08:00:00,  3.3988
14-6-1998  08:00:00,  3.4233
15-6-1998  08:00:00,  3.4228
16-6-1998  08:00:00,  3.4285
17-6-1998  08:00:00,  3.4388
18-6-1998  08:00:00,  3.4463
19-6-1998  08:00:00,  3.4462
20-6-1998  08:00:00,  3.4429
21-6-1998  08:00:00,  3.4377
22-6-1998  08:00:00,  3.4317
23-6-1998  08:00:00,  3.4252
24-6-1998  08:00:00,  3.4177
25-6-1998  08:00:00,  3.4119
26-6-1998  08:00:00,  3.4044
27-6-1998  08:00:00,  3.3996
28-6-1998  08:00:00,  3.3929
29-6-1998  08:00:00,  3.3880
30-6-1998  08:00:00,  3.3830
1-7-1998  08:00:00,  3.3762
2-7-1998  08:00:00,  3.3738
3-7-1998  08:00:00,  3.3704
4-7-1998  08:00:00,  3.3634
5-7-1998  08:00:00,  3.3561
6-7-1998  08:00:00,  3.3478
7-7-1998  08:00:00,  3.3420
8-7-1998  08:00:00,  3.3386
9-7-1998  08:00:00,  3.3372
10-7-1998  08:00:00,  3.3401
11-7-1998  08:00:00,  3.3450
12-7-1998  08:00:00,  3.3472
13-7-1998  08:00:00,  3.3475
14-7-1998  08:00:00,  3.3543
15-7-1998  08:00:00,  3.3571
16-7-1998  08:00:00,  3.3580
17-7-1998  08:00:00,  3.3585
18-7-1998  08:00:00,  3.3545
19-7-1998  08:00:00,  3.3496
20-7-1998  08:00:00,  3.3462
21-7-1998  08:00:00,  3.3429
22-7-1998  08:00:00,  3.3379
23-7-1998  08:00:00,  3.3294
24-7-1998  08:00:00,  3.3183
25-7-1998  08:00:00,  3.3072
26-7-1998  08:00:00,  3.2973
