name, screen_number, X, Y, surface_level_m_above_datum, screen_top_m_above_datum, screen_bottom_m_above_datum,begin_date,end_date
B39D2737-01_exported,   -0.06,    0.00,  200.00,    5.14,    5.09,   -0.06,1-1-1998,7-9-2023

Date(dd-mm-yyyy HH:MM:SS),head(m above datum)
1-1-1998  08:00:00,  4.0189
2-1-1998  08:00:00,  3.9436
3-1-1998  08:00:00,  3.8650
4-1-1998  08:00:00,  3.8248
5-1-1998  08:00:00,  3.8451
6-1-1998  08:00:00,  3.9718
7-1-1998  08:00:00,  4.0602
8-1-1998  08:00:00,  4.0943
9-1-1998  08:00:00,  4.1432
10-1-1998  08:00:00,  4.1264
11-1-1998  08:00:00,  4.0558
12-1-1998  08:00:00,  3.9523
13-1-1998  08:00:00,  3.8518
14-1-1998  08:00:00,  3.7543
15-1-1998  08:00:00,  3.6836
16-1-1998  08:00:00,  3.6156
17-1-1998  08:00:00,  3.5566
18-1-1998  08:00:00,  3.5069
19-1-1998  08:00:00,  3.4953
20-1-1998  08:00:00,  3.5614
21-1-1998  08:00:00,  3.6306
22-1-1998  08:00:00,  3.8075
23-1-1998  08:00:00,  3.9906
24-1-1998  08:00:00,  4.0212
25-1-1998  08:00:00,  3.9533
26-1-1998  08:00:00,  3.8553
27-1-1998  08:00:00,  3.7512
28-1-1998  08:00:00,  3.6650
29-1-1998  08:00:00,  3.5875
30-1-1998  08:00:00,  3.5221
31-1-1998  08:00:00,  3.4742
1-2-1998  08:00:00,  3.4296
2-2-1998  08:00:00,  3.3941
3-2-1998  08:00:00,  3.3753
4-2-1998  08:00:00,  3.3466
5-2-1998  08:00:00,  3.3227
6-2-1998  08:00:00,  3.3047
7-2-1998  08:00:00,  3.2928
8-2-1998  08:00:00,  3.2807
9-2-1998  08:00:00,  3.2534
10-2-1998  08:00:00,  3.2316
11-2-1998  08:00:00,  3.2151
12-2-1998  08:00:00,  3.1951
13-2-1998  08:00:00,  3.1763
14-2-1998  08:00:00,  3.1669
15-2-1998  08:00:00,  3.1483
16-2-1998  08:00:00,  3.1318
17-2-1998  08:00:00,  3.1356
18-2-1998  08:00:00,  3.1372
19-2-1998  08:00:00,  3.1446
20-2-1998  08:00:00,  3.1525
