Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0027,001,39GB0027,169990,433280,817,,817,67,-1483,1946/01/04,1969/10/14
B39G0027,001,39GB0027,169990,433280,817,,831,67,-1483,1969/10/14,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0027,001,1950/06/14 00:00:00,204,
B39G0027,001,1950/06/28 00:00:00,208,
B39G0027,001,1950/07/14 00:00:00,222,
B39G0027,001,1950/07/28 00:00:00,237,
B39G0027,001,1950/08/14 00:00:00,241,
B39G0027,001,1950/08/28 00:00:00,252,
B39G0027,001,1950/09/14 00:00:00,293,
B39G0027,001,1950/09/28 00:00:00,199,
B39G0027,001,1950/10/14 00:00:00,225,
B39G0027,001,1950/10/28 00:00:00,247,
B39G0027,001,1950/11/14 00:00:00,215,
B39G0027,001,1950/11/28 00:00:00,125,
B39G0027,001,1950/12/14 00:00:00,100,
B39G0027,001,1950/12/28 00:00:00,151,
B39G0027,001,1951/01/15 00:00:00,122,
B39G0027,001,1951/01/29 00:00:00,98,
B39G0027,001,1951/02/14 00:00:00,152,
B39G0027,001,1951/02/28 00:00:00,131,
B39G0027,001,1951/03/14 00:00:00,163,
B39G0027,001,1951/03/28 00:00:00,119,
B39G0027,001,1951/04/14 00:00:00,119,
B39G0027,001,1951/04/28 00:00:00,158,
B39G0027,001,1951/05/15 00:00:00,170,
B39G0027,001,1951/05/28 00:00:00,173,
B39G0027,001,1951/06/14 00:00:00,175,
B39G0027,001,1951/06/28 00:00:00,174,
B39G0027,001,1951/07/14 00:00:00,170,
B39G0027,001,1951/07/28 00:00:00,165,
B39G0027,001,1951/08/14 00:00:00,205,
B39G0027,001,1951/08/28 00:00:00,187,
B39G0027,001,1951/09/14 00:00:00,210,
B39G0027,001,1951/09/28 00:00:00,227,
B39G0027,001,1951/10/15 00:00:00,252,
B39G0027,001,1951/11/14 00:00:00,272,
B39G0027,001,1951/11/28 00:00:00,180,
B39G0027,001,1951/12/14 00:00:00,170,
B39G0027,001,1951/12/28 00:00:00,175,
B39G0027,001,1952/01/14 00:00:00,134,
B39G0027,001,1952/01/28 00:00:00,143,
B39G0027,001,1952/02/14 00:00:00,145,
B39G0027,001,1952/02/28 00:00:00,152,
B39G0027,001,1952/03/14 00:00:00,140,
B39G0027,001,1952/03/28 00:00:00,120,
B39G0027,001,1952/04/15 00:00:00,119,
B39G0027,001,1952/04/28 00:00:00,153,
B39G0027,001,1952/05/14 00:00:00,175,
B39G0027,001,1952/05/28 00:00:00,198,
B39G0027,001,1952/06/14 00:00:00,200,
B39G0027,001,1952/06/28 00:00:00,202,
B39G0027,001,1952/07/14 00:00:00,211,
B39G0027,001,1952/07/28 00:00:00,234,
B39G0027,001,1952/08/14 00:00:00,260,
B39G0027,001,1952/08/28 00:00:00,262,
B39G0027,001,1952/09/15 00:00:00,273,
B39G0027,001,1952/09/29 00:00:00,268,
B39G0027,001,1952/10/14 00:00:00,243,
B39G0027,001,1952/10/28 00:00:00,218,
B39G0027,001,1952/11/14 00:00:00,109,
B39G0027,001,1952/11/28 00:00:00,137,
B39G0027,001,1952/12/15 00:00:00,118,
B39G0027,001,1952/12/29 00:00:00,75,
B39G0027,001,1953/01/14 00:00:00,144,
B39G0027,001,1953/01/28 00:00:00,174,
B39G0027,001,1953/02/14 00:00:00,147,
B39G0027,001,1953/02/28 00:00:00,130,
B39G0027,001,1953/03/14 00:00:00,161,
B39G0027,001,1953/03/28 00:00:00,190,
B39G0027,001,1953/04/14 00:00:00,188,
B39G0027,001,1953/04/28 00:00:00,200,
B39G0027,001,1953/05/15 00:00:00,219,
B39G0027,001,1953/05/28 00:00:00,236,
B39G0027,001,1953/12/14 00:00:00,319,
B39G0027,001,1954/04/28 00:00:00,228,
B39G0027,001,1954/10/14 00:00:00,130,
B39G0027,001,1955/04/28 00:00:00,183,
B39G0027,001,1955/10/14 00:00:00,244,
B39G0027,001,1956/04/28 00:00:00,175,
B39G0027,001,1956/10/15 00:00:00,164,
B39G0027,001,1957/04/29 00:00:00,211,
B39G0027,001,1957/10/14 00:00:00,186,
B39G0027,001,1958/04/28 00:00:00,186,
B39G0027,001,1958/08/28 00:00:00,181,
B39G0027,001,1958/10/14 00:00:00,210,
B39G0027,001,1959/04/28 00:00:00,209,
B39G0027,001,1959/08/28 00:00:00,392,
B39G0027,001,1959/10/14 00:00:00,280,
B39G0027,001,1959/12/15 00:00:00,340,
B39G0027,001,1960/04/28 00:00:00,238,
B39G0027,001,1960/08/29 00:00:00,165,
B39G0027,001,1960/10/14 00:00:00,145,
B39G0027,001,1960/12/14 00:00:00,120,
B39G0027,001,1961/04/28 00:00:00,170,
B39G0027,001,1961/08/28 00:00:00,155,
B39G0027,001,1961/10/17 00:00:00,240,
B39G0027,001,1961/12/15 00:00:00,170,
B39G0027,001,1962/04/27 00:00:00,170,
B39G0027,001,1962/08/28 00:00:00,233,
B39G0027,001,1962/10/15 00:00:00,265,
B39G0027,001,1962/12/14 00:00:00,253,
B39G0027,001,1963/04/29 00:00:00,234,
B39G0027,001,1963/08/28 00:00:00,217,
B39G0027,001,1963/10/14 00:00:00,195,
B39G0027,001,1963/12/13 00:00:00,214,
B39G0027,001,1964/04/28 00:00:00,268,
B39G0027,001,1964/08/28 00:00:00,272,
B39G0027,001,1964/10/14 00:00:00,290,
B39G0027,001,1964/12/14 00:00:00,235,
B39G0027,001,1965/04/28 00:00:00,165,
B39G0027,001,1965/08/27 00:00:00,267,
B39G0027,001,1965/10/14 00:00:00,274,
B39G0027,001,1965/12/14 00:00:00,105,
B39G0027,001,1966/04/28 00:00:00,275,
B39G0027,001,1966/08/29 00:00:00,238,
B39G0027,001,1966/10/14 00:00:00,385,
B39G0027,001,1966/12/14 00:00:00,90,
B39G0027,001,1967/04/28 00:00:00,210,
B39G0027,001,1967/08/28 00:00:00,212,
B39G0027,001,1967/10/13 00:00:00,222,
B39G0027,001,1967/12/14 00:00:00,143,
B39G0027,001,1968/04/29 00:00:00,203,
B39G0027,001,1968/08/28 00:00:00,179,
B39G0027,001,1968/10/14 00:00:00,115,
B39G0027,001,1968/12/13 00:00:00,274,
B39G0027,001,1969/04/28 00:00:00,138,
B39G0027,001,1969/08/28 00:00:00,198,
B39G0027,001,1969/10/14 00:00:00,248,
B39G0027,001,1969/12/15 00:00:00,272,
B39G0027,001,1970/04/28 00:00:00,132,
B39G0027,001,1970/08/28 00:00:00,168,
B39G0027,001,1970/10/14 00:00:00,191,
B39G0027,001,1970/12/14 00:00:00,177,
B39G0027,001,1971/04/28 00:00:00,243,
B39G0027,001,1971/08/27 00:00:00,245,
B39G0027,001,1971/10/14 00:00:00,277,
B39G0027,001,1972/04/28 00:00:00,219,
B39G0027,001,1972/08/28 00:00:00,218,
B39G0027,001,1972/10/13 00:00:00,279,
B39G0027,001,1972/12/14 00:00:00,191,
B39G0027,001,1973/04/27 00:00:00,245,
B39G0027,001,1973/08/28 00:00:00,251,
B39G0027,001,1973/10/15 00:00:00,285,
B39G0027,001,1973/12/14 00:00:00,170,
B39G0027,001,1974/04/29 00:00:00,230,
B39G0027,001,1974/08/28 00:00:00,239,
B39G0027,001,1974/10/14 00:00:00,222,
B39G0027,001,1974/12/13 00:00:00,114,
B39G0027,001,1975/04/28 00:00:00,156,
B39G0027,001,1975/08/28 00:00:00,192,
B39G0027,001,1975/10/14 00:00:00,223,
B39G0027,001,1975/12/15 00:00:00,226,
B39G0027,001,1976/04/28 00:00:00,270,
B39G0027,001,1976/08/27 00:00:00,287,
B39G0027,001,1976/10/14 00:00:00,274,
B39G0027,001,1976/12/14 00:00:00,256,
B39G0027,001,1977/04/28 00:00:00,172,
B39G0027,001,1977/08/29 00:00:00,166,
B39G0027,001,1977/10/14 00:00:00,244,
B39G0027,001,1977/12/14 00:00:00,184,
B39G0027,001,1978/04/28 00:00:00,254,
B39G0027,001,1978/08/28 00:00:00,226,
B39G0027,001,1978/10/13 00:00:00,219,
B39G0027,001,1978/12/14 00:00:00,283,
B39G0027,001,1979/04/27 00:00:00,145,
B39G0027,001,1979/08/28 00:00:00,213,
B39G0027,001,1979/10/30 00:00:00,242,
B39G0027,001,1979/12/14 00:00:00,146,
B39G0027,001,1980/04/28 00:00:00,186,
B39G0027,001,1980/08/28 00:00:00,178,
B39G0027,001,1980/10/14 00:00:00,234,
B39G0027,001,1980/12/15 00:00:00,203,
B39G0027,001,1981/04/28 00:00:00,169,
B39G0027,001,1981/08/28 00:00:00,201,
B39G0027,001,1981/10/14 00:00:00,173,
B39G0027,001,1981/12/14 00:00:00,97,
B39G0027,001,1982/04/28 00:00:00,195,
B39G0027,001,1982/08/27 00:00:00,202,
B39G0027,001,1982/10/14 00:00:00,193,
B39G0027,001,1982/12/14 00:00:00,63,
B39G0027,001,1983/04/28 00:00:00,128,
B39G0027,001,1983/08/29 00:00:00,217,
B39G0027,001,1983/10/14 00:00:00,240,
B39G0027,001,1983/12/14 00:00:00,224,
B39G0027,001,1984/04/27 00:00:00,153,
B39G0027,001,1984/08/28 00:00:00,227,
B39G0027,001,1984/10/15 00:00:00,45,
B39G0027,001,1984/12/14 00:00:00,223,
B39G0027,001,1985/04/29 00:00:00,175,
B39G0027,001,1985/08/28 00:00:00,214,
B39G0027,001,1985/10/14 00:00:00,263,
B39G0027,001,1985/12/13 00:00:00,261,
B39G0027,001,1986/04/28 00:00:00,128,
B39G0027,001,1986/08/28 00:00:00,254,
B39G0027,001,1986/10/14 00:00:00,267,
B39G0027,001,1986/12/15 00:00:00,214,
B39G0027,001,1987/04/28 00:00:00,173,
B39G0027,001,1987/08/28 00:00:00,179,
B39G0027,001,1987/10/14 00:00:00,200,
B39G0027,001,1987/12/14 00:00:00,203,
B39G0027,001,1988/04/28 00:00:00,139,
B39G0027,001,1988/08/29 00:00:00,230,
B39G0027,001,1988/10/14 00:00:00,202,
B39G0027,001,1988/12/14 00:00:00,141,
B39G0027,001,1989/04/28 00:00:00,130,
B39G0027,001,1989/09/14 00:00:00,262,
B39G0027,001,1989/10/13 00:00:00,277,
B39G0027,001,1989/12/14 00:00:00,311,
B39G0027,001,1990/04/27 00:00:00,219,
B39G0027,001,1990/08/28 00:00:00,272,
B39G0027,001,1990/10/15 00:00:00,260,
B39G0027,001,1990/12/14 00:00:00,200,
B39G0027,001,1991/04/26 00:00:00,247,
B39G0027,001,1991/08/28 00:00:00,278,
B39G0027,001,1991/10/14 00:00:00,283,
B39G0027,001,1991/12/13 00:00:00,261,
B39G0027,001,1992/04/28 00:00:00,184,
B39G0027,001,1992/08/28 00:00:00,251,
B39G0027,001,1992/10/12 00:00:00,285,
B39G0027,001,1992/12/14 00:00:00,106,
B39G0027,001,1993/04/28 00:00:00,161,
B39G0027,001,1993/08/27 00:00:00,229,
B39G0027,001,1993/10/14 00:00:00,165,
B39G0027,001,1993/12/14 00:00:00,197,
B39G0027,001,1994/04/28 00:00:00,144,
B39G0027,001,1994/08/29 00:00:00,242,
B39G0027,001,1994/10/14 00:00:00,225,
B39G0027,001,1994/12/14 00:00:00,203,
B39G0027,001,1995/04/27 00:00:00,137,
B39G0027,001,1995/09/11 00:00:00,224,
B39G0027,001,1995/10/16 00:00:00,227,
B39G0027,001,1995/12/14 00:00:00,265,
B39G0027,001,1996/04/26 00:00:00,272,
B39G0027,001,1996/08/27 00:00:00,240,
B39G0027,001,1996/10/14 00:00:00,269,
B39G0027,001,1996/12/13 00:00:00,152,
B39G0027,001,1997/04/28 00:00:00,231,
B39G0027,001,1997/08/28 00:00:00,227,
B39G0027,001,1997/10/14 00:00:00,288,
B39G0027,001,1997/12/15 00:00:00,368,
B39G0027,001,1998/04/27 00:00:00,171,
B39G0027,001,1998/08/26 00:00:00,282,
B39G0027,001,1998/10/13 00:00:00,207,
B39G0027,001,1998/12/14 00:00:00,167,
B39G0027,001,1999/04/28 00:00:00,135,
B39G0027,001,1999/08/30 00:00:00,220,
B39G0027,001,1999/10/13 00:00:00,243,
B39G0027,001,1999/12/13 00:00:00,234,
B39G0027,001,2000/04/27 00:00:00,185,
B39G0027,001,2000/08/28 00:00:00,208,
