Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0048,001,39HB0048,170300,433700,964,,964,-36,-1436,1945/12/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0048,001,1950/06/14 00:00:00,413,
B39H0048,001,1950/06/28 00:00:00,411,
B39H0048,001,1950/07/14 00:00:00,435,
B39H0048,001,1950/07/28 00:00:00,453,
B39H0048,001,1950/08/14 00:00:00,452,
B39H0048,001,1950/08/28 00:00:00,461,
B39H0048,001,1950/09/14 00:00:00,435,
B39H0048,001,1950/09/28 00:00:00,409,
B39H0048,001,1950/10/14 00:00:00,442,
B39H0048,001,1950/10/28 00:00:00,461,
B39H0048,001,1950/11/14 00:00:00,435,
B39H0048,001,1950/11/28 00:00:00,272,
B39H0048,001,1950/12/14 00:00:00,258,
B39H0048,001,1950/12/28 00:00:00,344,
B39H0048,001,1951/01/15 00:00:00,290,
B39H0048,001,1951/01/29 00:00:00,218,
B39H0048,001,1951/02/14 00:00:00,340,
B39H0048,001,1951/02/28 00:00:00,292,
B39H0048,001,1951/03/14 00:00:00,365,
B39H0048,001,1951/03/28 00:00:00,275,
B39H0048,001,1951/04/14 00:00:00,272,
B39H0048,001,1951/04/28 00:00:00,350,
B39H0048,001,1951/05/15 00:00:00,369,
B39H0048,001,1951/05/28 00:00:00,375,
B39H0048,001,1951/06/14 00:00:00,359,
B39H0048,001,1951/06/28 00:00:00,330,
B39H0048,001,1951/07/14 00:00:00,360,
B39H0048,001,1951/07/28 00:00:00,350,
B39H0048,001,1951/08/14 00:00:00,360,
B39H0048,001,1951/08/28 00:00:00,387,
B39H0048,001,1951/09/14 00:00:00,420,
B39H0048,001,1951/09/28 00:00:00,444,
B39H0048,001,1951/10/15 00:00:00,476,
B39H0048,001,1951/11/14 00:00:00,492,
B39H0048,001,1951/11/28 00:00:00,360,
B39H0048,001,1951/12/14 00:00:00,359,
B39H0048,001,1951/12/28 00:00:00,390,
B39H0048,001,1952/01/14 00:00:00,282,
B39H0048,001,1952/01/28 00:00:00,324,
B39H0048,001,1952/02/14 00:00:00,318,
B39H0048,001,1952/02/28 00:00:00,325,
B39H0048,001,1952/03/14 00:00:00,300,
B39H0048,001,1952/03/28 00:00:00,262,
B39H0048,001,1952/04/15 00:00:00,273,
B39H0048,001,1952/04/28 00:00:00,330,
B39H0048,001,1952/05/14 00:00:00,362,
B39H0048,001,1952/05/28 00:00:00,389,
B39H0048,001,1952/06/14 00:00:00,405,
B39H0048,001,1952/06/28 00:00:00,400,
B39H0048,001,1952/07/14 00:00:00,421,
B39H0048,001,1952/07/28 00:00:00,450,
B39H0048,001,1952/08/14 00:00:00,490,
B39H0048,001,1952/08/28 00:00:00,488,
B39H0048,001,1952/09/15 00:00:00,497,
B39H0048,001,1952/09/29 00:00:00,481,
B39H0048,001,1952/10/14 00:00:00,443,
B39H0048,001,1952/10/28 00:00:00,393,
B39H0048,001,1952/11/14 00:00:00,229,
B39H0048,001,1952/11/28 00:00:00,303,
B39H0048,001,1952/12/15 00:00:00,272,
B39H0048,001,1952/12/29 00:00:00,175,
B39H0048,001,1953/01/14 00:00:00,330,
B39H0048,001,1953/01/28 00:00:00,380,
B39H0048,001,1953/02/14 00:00:00,341,
B39H0048,001,1953/02/28 00:00:00,272,
B39H0048,001,1953/03/14 00:00:00,355,
B39H0048,001,1953/03/28 00:00:00,400,
B39H0048,001,1953/04/14 00:00:00,390,
B39H0048,001,1953/04/28 00:00:00,403,
B39H0048,001,1953/05/15 00:00:00,430,
B39H0048,001,1953/05/28 00:00:00,448,
B39H0048,001,1953/06/15 00:00:00,402,
B39H0048,001,1953/06/29 00:00:00,322,
B39H0048,001,1953/07/14 00:00:00,295,
B39H0048,001,1953/07/28 00:00:00,333,
B39H0048,001,1953/08/14 00:00:00,370,
