Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,29-10-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,002,39DP0221,0,1000,449,25-03-1986,25-03-1986,01-03-1998,509,60,-2561,-2753
B39D0221,002,39DP0221,0,1000,449,25-03-1986,01-03-1998,13-04-2015,514,65,-2561,-2753
B39D0221,002,39DP0221,0,1000,449,25-03-1986,13-04-2015,29-10-2019,459,10,-2561,-2753


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,002,28-05-1986,171,111,338,,,,,,
B39D0221,002,16-06-1986,160,100,349,,,,,,
B39D0221,002,30-06-1986,177,117,332,,,,,,
B39D0221,002,14-07-1986,188,128,321,,,,,,
B39D0221,002,28-07-1986,188,128,321,,,,,,
B39D0221,002,14-08-1986,206,146,303,,,,,,
B39D0221,002,28-08-1986,201,141,308,,,,,,
B39D0221,002,15-09-1986,208,148,301,,,,,,
B39D0221,002,29-09-1986,205,145,304,,,,,,
B39D0221,002,14-10-1986,225,165,284,,,,,,
B39D0221,002,28-10-1986,185,125,324,,,,,,
B39D0221,002,14-11-1986,203,143,306,,,,,,
B39D0221,002,28-11-1986,202,142,307,,,,,,
B39D0221,002,15-12-1986,214,154,295,,,,,,
B39D0221,002,29-12-1986,183,123,326,,,,,,
B39D0221,002,14-01-1987,160,100,349,,,,,,
B39D0221,002,28-01-1987,200,140,309,,,,,,
B39D0221,002,13-02-1987,200,140,309,,,,,,
B39D0221,002,27-02-1987,210,150,299,,,,,,
B39D0221,002,13-03-1987,174,114,335,,,,,,
B39D0221,002,27-03-1987,170,110,339,,,,,,
B39D0221,002,14-04-1987,177,117,332,,,,,,
B39D0221,002,28-04-1987,180,120,329,,,,,,
B39D0221,002,14-05-1987,176,116,333,,,,,,
B39D0221,002,27-05-1987,175,115,334,,,,,,
B39D0221,002,15-06-1987,167,107,342,,,,,,
B39D0221,002,29-06-1987,149,89,360,,,,,,
B39D0221,002,14-07-1987,167,107,342,,,,,,
B39D0221,002,28-07-1987,167,107,342,,,,,,
B39D0221,002,14-08-1987,168,108,341,,,,,,
B39D0221,002,28-08-1987,180,120,329,,,,,,
B39D0221,002,14-09-1987,182,122,327,,,,,,
B39D0221,002,28-09-1987,206,146,303,,,,,,
B39D0221,002,14-10-1987,187,127,322,,,,,,
B39D0221,002,29-10-1987,200,140,309,,,,,,
B39D0221,002,13-11-1987,208,148,301,,,,,,
B39D0221,002,27-11-1987,188,128,321,,,,,,
B39D0221,002,14-12-1987,202,142,307,,,,,,
B39D0221,002,28-12-1987,180,120,329,,,,,,
B39D0221,002,14-01-1988,177,117,332,,,,,,
B39D0221,002,28-01-1988,165,105,344,,,,,,
B39D0221,002,15-02-1988,150,90,359,,,,,,
B39D0221,002,29-02-1988,178,118,331,,,,,,
B39D0221,002,14-03-1988,180,120,329,,,,,,
B39D0221,002,28-03-1988,146,86,363,,,,,,
B39D0221,002,14-04-1988,160,100,349,,,,,,
B39D0221,002,28-04-1988,168,108,341,,,,,,
B39D0221,002,16-05-1988,178,118,331,,,,,,
B39D0221,002,27-05-1988,177,117,332,,,,,,
B39D0221,002,14-06-1988,178,118,331,,,,,,
B39D0221,002,28-06-1988,190,130,319,,,,,,
B39D0221,002,14-07-1988,221,161,288,,,,,,
B39D0221,002,28-07-1988,188,128,321,,,,,,
B39D0221,002,15-08-1988,196,136,313,,,,,,
B39D0221,002,29-08-1988,200,140,309,,,,,,
B39D0221,002,14-09-1988,200,140,309,,,,,,
B39D0221,002,28-09-1988,192,132,317,,,,,,
B39D0221,002,14-10-1988,200,140,309,,,,,,
B39D0221,002,28-10-1988,196,136,313,,,,,,
B39D0221,002,14-11-1988,209,149,300,,,,,,
B39D0221,002,14-12-1988,174,114,335,,,,,,
B39D0221,002,27-12-1988,174,114,335,,,,,,
B39D0221,002,13-01-1989,198,138,311,,,,,,
B39D0221,002,27-01-1989,220,160,289,,,,,,
B39D0221,002,14-02-1989,235,175,274,,,,,,
B39D0221,002,28-02-1989,210,150,299,,,,,,
B39D0221,002,14-03-1989,195,135,314,,,,,,
B39D0221,002,28-03-1989,193,133,316,,,,,,
B39D0221,002,14-04-1989,178,118,331,,,,,,
B39D0221,002,28-04-1989,163,103,346,,,,,,
B39D0221,002,16-05-1989,185,125,324,,,,,,
B39D0221,002,29-05-1989,200,140,309,,,,,,
B39D0221,002,14-06-1989,194,134,315,,,,,,
B39D0221,002,28-06-1989,210,150,299,,,,,,
