Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,10-06-2013,,,,N,lucht,,,,
B39D2737,001,11-06-2013,78,84,431,,,,,,
B39D2737,001,12-06-2013,83,89,426,,,,,,
B39D2737,001,13-06-2013,86,92,423,,,,,,
B39D2737,001,14-06-2013,90,96,419,,,,,,
B39D2737,001,15-06-2013,92,98,417,,,,,,
B39D2737,001,16-06-2013,93,99,416,,,,,,
B39D2737,001,17-06-2013,95,101,414,,,,,,
B39D2737,001,18-06-2013,99,105,410,,,,,,
B39D2737,001,19-06-2013,104,110,405,,,,,,
B39D2737,001,20-06-2013,106,112,403,,,,,,
B39D2737,001,21-06-2013,109,115,400,,,,,,
B39D2737,001,22-06-2013,109,115,400,,,,,,
B39D2737,001,23-06-2013,108,114,401,,,,,,
B39D2737,001,24-06-2013,108,114,401,,,,,,
B39D2737,001,25-06-2013,110,116,399,,,,,,
B39D2737,001,26-06-2013,113,119,396,,,,,,
B39D2737,001,27-06-2013,114,120,395,,,,,,
