screen name,screen number,X,Y,surface level (m NAP),screen top (m NAP), screen bottom (m NAP),begin date,end date
28CP0197_2,2,227398.02,485957.95,15.26,-14.8,-15.8,,

Datum(dd-mm-yyyy HH:MM:SS),grondwaterstand NAP Vitens(m NAP)
07-03-1980 12:00,7.97
17-03-1980 12:00,8.03
28-03-1980 12:00,8.01
14-04-1980 12:00,8.04
28-04-1980 12:00,8.06
14-05-1980 12:00,8.01
28-05-1980 12:00,7.94
13-06-1980 12:00,7.91
30-06-1980 12:00,7.93
28-07-1980 12:00,8.05
14-08-1980 12:00,8.1
28-08-1980 12:00,8.07
15-09-1980 12:00,8.04
29-09-1980 12:00,8.01
14-10-1980 12:00,8.0
28-10-1980 12:00,7.95
14-11-1980 12:00,7.93
28-11-1980 12:00,7.96
15-12-1980 12:00,8.0
29-12-1980 12:00,8.06
14-01-1981 12:00,8.17
28-01-1981 12:00,8.24
13-02-1981 12:00,8.01
27-02-1981 12:00,8.27
13-03-1981 12:00,8.34
26-03-1981 12:00,8.46
14-04-1981 12:00,8.51
29-04-1981 12:00,8.52
14-05-1981 12:00,8.49
27-05-1981 12:00,8.5
15-06-1981 12:00,8.51
29-06-1981 12:00,8.48
14-07-1981 12:00,8.48
28-07-1981 12:00,8.46
14-08-1981 12:00,8.53
28-08-1981 12:00,8.49
14-09-1981 12:00,8.49
28-09-1981 12:00,8.45
14-10-1981 12:00,8.43
28-10-1981 12:00,8.45
13-11-1981 12:00,8.44
27-11-1981 12:00,8.51
14-12-1981 12:00,8.66
28-12-1981 12:00,8.66
14-01-1982 12:00,8.68
28-01-1982 12:00,8.65
15-02-1982 12:00,8.71
01-03-1982 12:00,8.73
15-03-1982 12:00,8.75
29-03-1982 12:00,8.77
14-04-1982 12:00,8.76
28-04-1982 12:00,8.73
14-05-1982 12:00,8.68
28-05-1982 12:00,8.64
14-06-1982 12:00,8.53
28-06-1982 12:00,8.54
13-07-1982 12:00,8.49
13-08-1982 12:00,8.36
27-08-1982 12:00,8.37
14-09-1982 12:00,8.35
28-09-1982 12:00,8.32
14-10-1982 12:00,8.31
28-10-1982 12:00,8.28
15-11-1982 12:00,8.28
29-11-1982 12:00,8.3
14-12-1982 12:00,8.31
28-12-1982 12:00,8.34
14-01-1983 12:00,8.39
28-01-1983 12:00,8.44
14-02-1983 12:00,8.53
28-02-1983 12:00,8.55
13-03-1983 12:00,8.59
28-03-1983 12:00,8.61
14-04-1983 12:00,8.58
28-04-1983 12:00,8.58
13-05-1983 12:00,8.62
27-05-1983 12:00,8.66
14-06-1983 12:00,8.7
28-06-1983 12:00,8.68
14-07-1983 12:00,8.64
28-07-1983 12:00,8.69
28-08-1983 12:00,8.57
14-09-1983 12:00,8.58
28-09-1983 12:00,8.56
14-10-1983 12:00,8.56
28-10-1983 12:00,8.54
14-11-1983 12:00,8.52
28-11-1983 12:00,8.54
14-12-1983 12:00,8.58
28-12-1983 12:00,8.58
13-01-1984 12:00,8.64
27-01-1984 12:00,8.68
14-02-1984 12:00,8.8
14-05-1984 12:00,8.86
28-05-1984 12:00,8.9
14-06-1984 12:00,8.97
28-06-1984 12:00,8.96
13-07-1984 12:00,9.0
27-07-1984 12:00,9.03
14-08-1984 12:00,8.94
28-08-1984 12:00,8.87
14-09-1984 12:00,8.85
28-09-1984 12:00,8.82
15-10-1984 12:00,8.87
29-10-1984 12:00,8.89
14-11-1984 12:00,8.92
28-11-1984 12:00,8.94
14-12-1984 12:00,8.95
28-12-1984 12:00,8.99
14-01-1985 12:00,9.01
28-01-1985 12:00,9.04
14-02-1985 12:00,9.03
27-02-1985 12:00,8.99
15-03-1985 12:00,8.98
28-03-1985 12:00,8.98
15-04-1985 12:00,8.93
29-04-1985 12:00,8.94
13-05-1985 12:00,8.95
28-05-1985 12:00,8.91
14-06-1985 12:00,8.86
28-06-1985 12:00,8.84
15-07-1985 12:00,8.87
14-08-1985 12:00,8.81
13-09-1985 12:00,8.75
27-09-1985 12:00,8.72
14-10-1985 12:00,8.68
28-10-1985 12:00,8.65
14-11-1985 12:00,8.61
28-11-1985 12:00,8.59
13-12-1985 12:00,8.55
30-12-1985 12:00,8.63
14-01-1986 12:00,8.69
28-01-1986 12:00,8.79
14-02-1986 12:00,8.72
28-02-1986 12:00,8.65
14-03-1986 12:00,8.66
27-03-1986 12:00,8.59
28-04-1986 12:00,8.56
14-05-1986 12:00,8.54
28-05-1986 12:00,8.52
13-06-1986 12:00,8.48
27-06-1986 12:00,8.49
14-07-1986 12:00,8.42
