STRESS,Time serie name,X COORD,Y COORD,KNMI location code:555, PREC in meter per day from 8:00 preceding day to 8:00 present date
PREC,555_Kootwijk,0,0

DATE,VALUE (meter per day)
2-1-1951  08:00,  0.002000
3-1-1951  08:00,  0.001000
4-1-1951  08:00,  0.000000
5-1-1951  08:00,  0.001800
6-1-1951  08:00,  0.005500
7-1-1951  08:00,  0.001000
8-1-1951  08:00,  0.000000
9-1-1951  08:00,  0.005500
10-1-1951  08:00,  0.000000
11-1-1951  08:00,  0.008000
12-1-1951  08:00,  0.019500
13-1-1951  08:00,  0.000000
14-1-1951  08:00,  0.004000
15-1-1951  08:00,  0.004000
16-1-1951  08:00,  0.001500
17-1-1951  08:00,  0.003500
18-1-1951  08:00,  0.019500
19-1-1951  08:00,  0.002200
20-1-1951  08:00,  0.005000
21-1-1951  08:00,  0.002400
22-1-1951  08:00,  0.000000
23-1-1951  08:00,  0.003000
24-1-1951  08:00,  0.000000
25-1-1951  08:00,  0.000000
26-1-1951  08:00,  0.000000
27-1-1951  08:00,  0.000000
28-1-1951  08:00,  0.000600
29-1-1951  08:00,  0.000000
30-1-1951  08:00,  0.000000
31-1-1951  08:00,  0.000000
1-2-1951  08:00,  0.000000
2-2-1951  08:00,  0.000000
3-2-1951  08:00,  0.000000
4-2-1951  08:00,  0.002500
5-2-1951  08:00,  0.003800
6-2-1951  08:00,  0.000000
7-2-1951  08:00,  0.000000
8-2-1951  08:00,  0.002500
9-2-1951  08:00,  0.009000
10-2-1951  08:00,  0.000000
11-2-1951  08:00,  0.000000
12-2-1951  08:00,  0.001300
13-2-1951  08:00,  0.000000
14-2-1951  08:00,  0.005500
15-2-1951  08:00,  0.000000
16-2-1951  08:00,  0.000000
17-2-1951  08:00,  0.002500
18-2-1951  08:00,  0.016000
19-2-1951  08:00,  0.003500
20-2-1951  08:00,  0.005000
21-2-1951  08:00,  0.013000
22-2-1951  08:00,  0.015000
23-2-1951  08:00,  0.009500
24-2-1951  08:00,  0.000000
25-2-1951  08:00,  0.001400
26-2-1951  08:00,  0.000600
27-2-1951  08:00,  0.000300
28-2-1951  08:00,  0.000000
1-3-1951  08:00,  0.000000
2-3-1951  08:00,  0.000000
3-3-1951  08:00,  0.000000
4-3-1951  08:00,  0.000000
5-3-1951  08:00,  0.000000
6-3-1951  08:00,  0.000000
7-3-1951  08:00,  0.000000
8-3-1951  08:00,  0.000000
9-3-1951  08:00,  0.000000
10-3-1951  08:00,  0.000000
11-3-1951  08:00,  0.000000
12-3-1951  08:00,  0.005000
13-3-1951  08:00,  0.004000
14-3-1951  08:00,  0.001500
15-3-1951  08:00,  0.002300
16-3-1951  08:00,  0.000000
17-3-1951  08:00,  0.013500
18-3-1951  08:00,  0.007300
19-3-1951  08:00,  0.001800
20-3-1951  08:00,  0.000000
21-3-1951  08:00,  0.002500
22-3-1951  08:00,  0.000000
23-3-1951  08:00,  0.007000
24-3-1951  08:00,  0.001800
25-3-1951  08:00,  0.003000
26-3-1951  08:00,  0.005500
27-3-1951  08:00,  0.009000
28-3-1951  08:00,  0.003500
29-3-1951  08:00,  0.002000
30-3-1951  08:00,  0.000000
31-3-1951  08:00,  0.003500
1-4-1951  08:00,  0.001000
2-4-1951  08:00,  0.009000
3-4-1951  08:00,  0.002000
4-4-1951  08:00,  0.000000
5-4-1951  08:00,  0.010500
6-4-1951  08:00,  0.000000
7-4-1951  08:00,  0.007500
8-4-1951  08:00,  0.011000
9-4-1951  08:00,  0.002500
10-4-1951  08:00,  0.017000
11-4-1951  08:00,  0.011000
12-4-1951  08:00,  0.001000
13-4-1951  08:00,  0.000000
14-4-1951  08:00,  0.009000
15-4-1951  08:00,  0.001500
16-4-1951  08:00,  0.003500
17-4-1951  08:00,  0.000000
18-4-1951  08:00,  0.000000
19-4-1951  08:00,  0.000000
20-4-1951  08:00,  0.000000
21-4-1951  08:00,  0.000000
22-4-1951  08:00,  0.000000
23-4-1951  08:00,  0.000000
24-4-1951  08:00,  0.000000
25-4-1951  08:00,  0.000000
26-4-1951  08:00,  0.000000
27-4-1951  08:00,  0.000000
28-4-1951  08:00,  0.004500
29-4-1951  08:00,  0.006500
30-4-1951  08:00,  0.004000
1-5-1951  08:00,  0.000000
2-5-1951  08:00,  0.000000
3-5-1951  08:00,  0.000000
4-5-1951  08:00,  0.000000
5-5-1951  08:00,  0.005500
6-5-1951  08:00,  0.001000
7-5-1951  08:00,  0.007000
8-5-1951  08:00,  0.009000
9-5-1951  08:00,  0.000000
10-5-1951  08:00,  0.000000
11-5-1951  08:00,  0.000000
12-5-1951  08:00,  0.000000
13-5-1951  08:00,  0.005500
14-5-1951  08:00,  0.006000
15-5-1951  08:00,  0.002500
16-5-1951  08:00,  0.000000
17-5-1951  08:00,  0.000000
18-5-1951  08:00,  0.000000
19-5-1951  08:00,  0.000000
20-5-1951  08:00,  0.000000
21-5-1951  08:00,  0.004200
22-5-1951  08:00,  0.005000
23-5-1951  08:00,  0.006300
24-5-1951  08:00,  0.000000
25-5-1951  08:00,  0.000000
26-5-1951  08:00,  0.028500
27-5-1951  08:00,  0.008000
28-5-1951  08:00,  0.000000
29-5-1951  08:00,  0.010500
30-5-1951  08:00,  0.000000
31-5-1951  08:00,  0.000000
1-6-1951  08:00,  0.000000
2-6-1951  08:00,  0.000000
3-6-1951  08:00,  0.000000
4-6-1951  08:00,  0.000000
5-6-1951  08:00,  0.000000
6-6-1951  08:00,  0.000000
7-6-1951  08:00,  0.000000
8-6-1951  08:00,  0.000000
9-6-1951  08:00,  0.000000
10-6-1951  08:00,  0.000000
11-6-1951  08:00,  0.001300
12-6-1951  08:00,  0.000000
13-6-1951  08:00,  0.008500
14-6-1951  08:00,  0.003000
15-6-1951  08:00,  0.000000
16-6-1951  08:00,  0.002500
17-6-1951  08:00,  0.000000
18-6-1951  08:00,  0.000000
19-6-1951  08:00,  0.001300
20-6-1951  08:00,  0.002300
21-6-1951  08:00,  0.000000
22-6-1951  08:00,  0.000000
23-6-1951  08:00,  0.003500
24-6-1951  08:00,  0.003200
25-6-1951  08:00,  0.001400
26-6-1951  08:00,  0.000000
27-6-1951  08:00,  0.005500
28-6-1951  08:00,  0.004500
29-6-1951  08:00,  0.005000
30-6-1951  08:00,  0.000000
1-7-1951  08:00,  0.000000
2-7-1951  08:00,  0.000000
