Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:10:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb001-1,001,HBpb001-1,169904.96,433163.6,714,,778,475,383,283,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb001-1,001,2021/09/23 13:56:00,493,
HBpb001-1,001,2021/09/23 14:56:00,493,
HBpb001-1,001,2021/09/23 15:56:00,493,
HBpb001-1,001,2021/09/23 16:56:00,493,
HBpb001-1,001,2021/09/23 17:56:00,493,
HBpb001-1,001,2021/09/23 18:56:00,493,
HBpb001-1,001,2021/09/23 19:56:00,492,
HBpb001-1,001,2021/09/23 20:56:00,492,
HBpb001-1,001,2021/09/23 21:56:00,492,
HBpb001-1,001,2021/09/23 22:56:00,492,
HBpb001-1,001,2021/09/23 23:56:00,491,
HBpb001-1,001,2021/09/24 00:56:00,491,
HBpb001-1,001,2021/09/24 01:56:00,491,
HBpb001-1,001,2021/09/24 02:56:00,491,
HBpb001-1,001,2021/09/24 03:56:00,491,
HBpb001-1,001,2021/09/24 04:56:00,491,
HBpb001-1,001,2021/09/24 05:56:00,491,
HBpb001-1,001,2021/09/24 06:56:00,491,
HBpb001-1,001,2021/09/24 07:56:00,491,
HBpb001-1,001,2021/09/24 08:56:00,491,
HBpb001-1,001,2021/09/24 09:56:00,491,
HBpb001-1,001,2021/09/24 10:56:00,491,
HBpb001-1,001,2021/09/24 11:56:00,491,
HBpb001-1,001,2021/09/24 12:56:00,490,
HBpb001-1,001,2021/09/24 13:56:00,490,
HBpb001-1,001,2021/09/24 14:56:00,490,
HBpb001-1,001,2021/09/24 16:56:00,489,
HBpb001-1,001,2021/09/24 17:56:00,489,
HBpb001-1,001,2021/09/24 18:56:00,489,
HBpb001-1,001,2021/09/24 19:56:00,489,
HBpb001-1,001,2021/09/24 20:56:00,489,
HBpb001-1,001,2021/09/24 21:56:00,489,
HBpb001-1,001,2021/09/24 22:56:00,489,
HBpb001-1,001,2021/09/24 23:56:00,489,
HBpb001-1,001,2021/09/25 00:56:00,489,
HBpb001-1,001,2021/09/25 01:56:00,488,
HBpb001-1,001,2021/09/25 02:56:00,488,
HBpb001-1,001,2021/09/25 03:56:00,488,
HBpb001-1,001,2021/09/25 04:56:00,488,
