# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# DR        : Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   DR,   RH, EV24
  260,19800101,   22,   58,    3
  260,19800102,    2,    6,    3
  260,19800103,   59,   13,    1
  260,19800104,   96,   91,    0
  260,19800105,   67,   42,    1
  260,19800106,   77,   62,    1
  260,19800107,    3,    3,    1
  260,19800108,    6,    8,    1
  260,19800109,    0,   -1,    1
  260,19800110,    0,    0,    1
  260,19800111,    0,   -1,    0
  260,19800112,    0,    0,    4
  260,19800113,    0,    0,    4
  260,19800114,    0,    0,    2
  260,19800115,    0,    0,    1
  260,19800116,    0,    0,    3
  260,19800117,    0,    0,    4
  260,19800118,    0,    0,    4
  260,19800119,    0,    0,    4
  260,19800120,   16,    3,    1
  260,19800121,   31,   56,    2
  260,19800122,   26,    9,    1
  260,19800123,   24,   10,    2
  260,19800124,    2,    3,    2
  260,19800125,    5,   20,    2
  260,19800126,    3,    7,    4
  260,19800127,    1,    5,    5
  260,19800128,   31,   34,    1
  260,19800129,    2,    1,    2
  260,19800130,    5,    6,    3
  260,19800131,   85,  239,    4
  260,19800201,    5,    5,    6
  260,19800202,   81,  109,    1
  260,19800203,   62,   94,    1
  260,19800204,   42,   53,    3
  260,19800205,   98,  157,    1
  260,19800206,   67,   47,    1
  260,19800207,   16,   12,    2
  260,19800208,    6,    5,    3
  260,19800209,    0,   -1,    7
  260,19800210,    4,    4,    4
  260,19800211,    3,    4,    3
  260,19800212,    0,    2,    2
  260,19800213,    0,    0,    5
  260,19800214,    0,    2,    5
  260,19800215,   64,   33,    3
  260,19800216,    0,   -1,    4
  260,19800217,    0,    0,    6
  260,19800218,    0,    0,    8
  260,19800219,    0,    0,   11
  260,19800220,    0,    0,   11
  260,19800221,    0,    0,   12
  260,19800222,    0,    0,   12
  260,19800223,   44,   18,    2
  260,19800224,    0,    0,    9
