STRESS,Time serie name,X COORD,Y COORD,
RIV,251A_beneden_raai2,173699,398423,5-1-2008 9:00,2-5-2012 23:00

DATE,VALUE (meter per day)
5-1-2008 9:00,10.976
5-1-2008 10:00,11
5-1-2008 11:00,11.003
5-1-2008 12:00,11.01
5-1-2008 13:00,11.01
5-1-2008 14:00,11.012
5-1-2008 15:00,11.003
5-1-2008 16:00,10.993
5-1-2008 17:00,10.986
5-1-2008 18:00,10.973
7-1-2008 23:00,10.981
8-1-2008 0:00,11
8-1-2008 1:00,11.005
8-1-2008 2:00,11.008
8-1-2008 3:00,11.012
8-1-2008 4:00,11.008
8-1-2008 5:00,10.995
8-1-2008 6:00,10.978
19-1-2008 16:00,10.966
19-1-2008 17:00,10.983
19-1-2008 18:00,10.99
19-1-2008 19:00,11
19-1-2008 20:00,11.022
19-1-2008 21:00,11.054
19-1-2008 22:00,11.093
19-1-2008 23:00,11.132
20-1-2008 0:00,11.171
20-1-2008 1:00,11.215
20-1-2008 2:00,11.249
20-1-2008 3:00,11.269
20-1-2008 4:00,11.281
20-1-2008 5:00,11.286
20-1-2008 6:00,11.288
20-1-2008 7:00,11.286
20-1-2008 8:00,11.281
20-1-2008 9:00,11.271
20-1-2008 10:00,11.261
20-1-2008 11:00,11.252
20-1-2008 12:00,11.244
20-1-2008 13:00,11.235
20-1-2008 14:00,11.217
20-1-2008 15:00,11.203
20-1-2008 16:00,11.191
20-1-2008 17:00,11.181
20-1-2008 18:00,11.174
20-1-2008 19:00,11.161
20-1-2008 20:00,11.147
20-1-2008 21:00,11.139
20-1-2008 22:00,11.132
20-1-2008 23:00,11.117
21-1-2008 0:00,11.105
21-1-2008 1:00,11.081
21-1-2008 2:00,11.073
21-1-2008 3:00,11.059
21-1-2008 4:00,11.054
21-1-2008 5:00,11.042
21-1-2008 6:00,11.037
21-1-2008 7:00,11.027
21-1-2008 8:00,11.017
21-1-2008 9:00,11.012
21-1-2008 10:00,11.003
21-1-2008 11:00,11.005
21-1-2008 12:00,11
21-1-2008 13:00,11.005
21-1-2008 14:00,11.015
21-1-2008 15:00,11.02
21-1-2008 16:00,11.03
21-1-2008 17:00,11.027
21-1-2008 18:00,11.027
21-1-2008 19:00,11.034
21-1-2008 20:00,11.037
21-1-2008 21:00,11.039
21-1-2008 22:00,11.049
21-1-2008 23:00,11.078
22-1-2008 0:00,11.1
22-1-2008 1:00,11.122
22-1-2008 2:00,11.139
22-1-2008 3:00,11.152
22-1-2008 4:00,11.178
22-1-2008 5:00,11.205
22-1-2008 6:00,11.232
22-1-2008 7:00,11.257
22-1-2008 8:00,11.271
22-1-2008 9:00,11.269
22-1-2008 10:00,11.271
22-1-2008 11:00,11.276
22-1-2008 12:00,11.264
22-1-2008 13:00,11.249
22-1-2008 14:00,11.239
22-1-2008 15:00,11.232
22-1-2008 16:00,11.227
22-1-2008 17:00,11.222
22-1-2008 18:00,11.217
22-1-2008 19:00,11.213
22-1-2008 20:00,11.203
22-1-2008 21:00,11.196
22-1-2008 22:00,11.186
22-1-2008 23:00,11.181
23-1-2008 0:00,11.174
23-1-2008 1:00,11.164
23-1-2008 2:00,11.142
23-1-2008 3:00,11.122
23-1-2008 4:00,11.105
23-1-2008 5:00,11.081
23-1-2008 6:00,11.059
23-1-2008 7:00,11.042
23-1-2008 8:00,11.03
23-1-2008 9:00,11.02
23-1-2008 10:00,11.01
23-1-2008 11:00,11.008
23-1-2008 12:00,11.003
23-1-2008 13:00,11.01
23-1-2008 14:00,11.022
23-1-2008 15:00,11.027
23-1-2008 16:00,11.032
23-1-2008 17:00,11.03
23-1-2008 18:00,11.03
23-1-2008 19:00,11.03
23-1-2008 20:00,11.03
23-1-2008 21:00,11.027
23-1-2008 22:00,11.03
23-1-2008 23:00,11.03
24-1-2008 0:00,11.027
24-1-2008 1:00,11.015
24-1-2008 2:00,11.005
24-1-2008 3:00,10.99
24-1-2008 4:00,10.976
24-1-2008 21:00,10.988
24-1-2008 22:00,11.012
24-1-2008 23:00,11.02
