LOCATION,FILTER NR,X COORD,Y COORD,REMARK: THIS IS A CALIBRATED RADAR PRECIPITATION TIME SERIES
Prec,buiradar,173700,398425,

DATE,VALUE (m-ref)
1-1-2009 9:00,0
1-1-2009 10:00,0
1-1-2009 11:00,0
1-1-2009 12:00,0
1-1-2009 13:00,0
1-1-2009 14:00,0
1-1-2009 15:00,0
1-1-2009 16:00,0
1-1-2009 17:00,0
1-1-2009 18:00,0
1-1-2009 19:00,0
1-1-2009 20:00,0
1-1-2009 21:00,0
1-1-2009 22:00,0
1-1-2009 23:00,0
2-1-2009 0:00,0
2-1-2009 1:00,0
2-1-2009 2:00,0
2-1-2009 3:00,0
2-1-2009 4:00,0.0000001
2-1-2009 5:00,0.000000175
2-1-2009 6:00,0
2-1-2009 7:00,0
2-1-2009 8:00,0
2-1-2009 9:00,0.00000645
2-1-2009 10:00,0.0000021
2-1-2009 11:00,0
2-1-2009 12:00,0
2-1-2009 13:00,0
2-1-2009 14:00,0.000000025
2-1-2009 15:00,0.000000025
2-1-2009 16:00,0.00000005
2-1-2009 17:00,0.000000025
2-1-2009 18:00,0
2-1-2009 19:00,0
2-1-2009 20:00,0
2-1-2009 21:00,0
2-1-2009 22:00,0
2-1-2009 23:00,0.00000085
3-1-2009 0:00,0.00008005
3-1-2009 1:00,0.00000005
3-1-2009 2:00,0.00000045
3-1-2009 3:00,0.000001675
3-1-2009 4:00,0.0000007
3-1-2009 5:00,0.000001525
3-1-2009 6:00,0.000002925
3-1-2009 7:00,0.000003075
3-1-2009 8:00,0.000003875
3-1-2009 9:00,0.00000255
3-1-2009 10:00,0.00000975
3-1-2009 11:00,0.00001235
3-1-2009 12:00,0.000000475
3-1-2009 13:00,0.0000008
3-1-2009 14:00,0.000000525
3-1-2009 15:00,0.00000055
3-1-2009 16:00,0.0000002
3-1-2009 17:00,0.000000025
3-1-2009 18:00,0.000000025
3-1-2009 19:00,0
3-1-2009 20:00,0
3-1-2009 21:00,0
3-1-2009 22:00,0.000000125
3-1-2009 23:00,0.00000015
4-1-2009 0:00,0
4-1-2009 1:00,0.0000003
4-1-2009 2:00,0.00000005
4-1-2009 3:00,0
4-1-2009 4:00,0
4-1-2009 5:00,0.000000025
4-1-2009 6:00,0
4-1-2009 7:00,0
4-1-2009 8:00,0
4-1-2009 9:00,0.000000025
4-1-2009 10:00,0.000000875
4-1-2009 11:00,0.0000134
4-1-2009 12:00,0.000000625
4-1-2009 13:00,0.0000005
4-1-2009 14:00,0.00000295
4-1-2009 15:00,0.000004325
4-1-2009 16:00,0.0000036
4-1-2009 17:00,0.00004285
4-1-2009 18:00,0.0001479
4-1-2009 19:00,0.0001993
4-1-2009 20:00,0.000286475
4-1-2009 21:00,0.0002492
4-1-2009 22:00,0.0003068
4-1-2009 23:00,0.00035445
5-1-2009 0:00,0.00069065
5-1-2009 1:00,0.00050945
5-1-2009 2:00,0.00084965
5-1-2009 3:00,0.000739425
5-1-2009 4:00,0.000547675
5-1-2009 5:00,0.0009457
5-1-2009 6:00,0.00092245
5-1-2009 7:00,0.000250675
5-1-2009 8:00,0.0000033
5-1-2009 9:00,0
5-1-2009 10:00,0
5-1-2009 11:00,0
5-1-2009 12:00,0
5-1-2009 13:00,0
5-1-2009 14:00,0
5-1-2009 15:00,0
5-1-2009 16:00,0
5-1-2009 17:00,0
5-1-2009 18:00,0
5-1-2009 19:00,0
5-1-2009 20:00,0
5-1-2009 21:00,0
5-1-2009 22:00,0
5-1-2009 23:00,0
6-1-2009 0:00,0
6-1-2009 1:00,0
6-1-2009 2:00,0
6-1-2009 3:00,0
6-1-2009 4:00,0
6-1-2009 5:00,0
6-1-2009 6:00,0
6-1-2009 7:00,0
6-1-2009 8:00,0
6-1-2009 9:00,0
6-1-2009 10:00,0
6-1-2009 11:00,0
6-1-2009 12:00,0.000000025
6-1-2009 13:00,0.000000025
6-1-2009 14:00,0
6-1-2009 15:00,0.00000015
6-1-2009 16:00,0.000000025
6-1-2009 17:00,0
6-1-2009 18:00,0
6-1-2009 19:00,0
6-1-2009 20:00,0
6-1-2009 21:00,0.00000005
6-1-2009 22:00,0.000000225
6-1-2009 23:00,0.00000035
7-1-2009 0:00,0.00000105
7-1-2009 1:00,0.00000095
7-1-2009 2:00,0.000000225
7-1-2009 3:00,0.000018475
7-1-2009 4:00,0.000037825
7-1-2009 5:00,0.000012675
7-1-2009 6:00,0.00000395
7-1-2009 7:00,0.000014875
7-1-2009 8:00,0.00000325
7-1-2009 9:00,0
7-1-2009 10:00,0
7-1-2009 11:00,0.000000025
7-1-2009 12:00,0
7-1-2009 13:00,0
7-1-2009 14:00,0.00000045
7-1-2009 15:00,0.00000115
7-1-2009 16:00,0.000000375
7-1-2009 17:00,0
7-1-2009 18:00,0
7-1-2009 19:00,0.000001275
7-1-2009 20:00,0.0000001
7-1-2009 21:00,0
7-1-2009 22:00,0
7-1-2009 23:00,0.000000025
8-1-2009 0:00,0
8-1-2009 1:00,0
8-1-2009 2:00,0
8-1-2009 3:00,0
8-1-2009 4:00,0
8-1-2009 5:00,0
8-1-2009 6:00,0
8-1-2009 7:00,0
8-1-2009 8:00,0.000000075
8-1-2009 9:00,0
8-1-2009 10:00,0
8-1-2009 11:00,0
8-1-2009 12:00,0
8-1-2009 13:00,0.000000375
8-1-2009 14:00,0
8-1-2009 15:00,0
8-1-2009 16:00,0.00000035
8-1-2009 17:00,0.00000095
8-1-2009 18:00,0.0000008
8-1-2009 19:00,0.00000055
8-1-2009 20:00,0.00000075
8-1-2009 21:00,0.000000925
8-1-2009 22:00,0.00000155
8-1-2009 23:00,0.00000065
9-1-2009 0:00,0.000001825
9-1-2009 1:00,0.000002075
9-1-2009 2:00,0.000000375
9-1-2009 3:00,0.000001325
9-1-2009 4:00,0.000001375
9-1-2009 5:00,0.000021775
9-1-2009 6:00,0.000021975
9-1-2009 7:00,0.000000775
9-1-2009 8:00,0.00000105
9-1-2009 9:00,0.000001475
9-1-2009 10:00,0.000000075
9-1-2009 11:00,0.0000001
9-1-2009 12:00,0.000000075
9-1-2009 13:00,0.000001425
9-1-2009 14:00,0.000002475
9-1-2009 15:00,0.00000225
9-1-2009 16:00,0.00000065
9-1-2009 17:00,0.000000825
9-1-2009 18:00,0.000000325
9-1-2009 19:00,0.000001
9-1-2009 20:00,0.0000018
9-1-2009 21:00,0.000001225
9-1-2009 22:00,0.0000013
9-1-2009 23:00,0.00000125
10-1-2009 0:00,0.000001
10-1-2009 1:00,0.00000045
10-1-2009 2:00,0.000002375
10-1-2009 3:00,0.000001275
10-1-2009 4:00,0.000000425
10-1-2009 5:00,0.00000065
10-1-2009 6:00,0.00000065
10-1-2009 7:00,0.00000015
10-1-2009 8:00,0.000000625
10-1-2009 9:00,0.0000025
10-1-2009 10:00,0.0000218
10-1-2009 11:00,0
10-1-2009 12:00,0.000000075
10-1-2009 13:00,0.00000005
10-1-2009 14:00,0.0000001
10-1-2009 15:00,0.000000025
10-1-2009 16:00,0
10-1-2009 17:00,0
10-1-2009 18:00,0
10-1-2009 19:00,0
10-1-2009 20:00,0
10-1-2009 21:00,0
10-1-2009 22:00,0
10-1-2009 23:00,0
11-1-2009 0:00,0
11-1-2009 1:00,0
11-1-2009 2:00,0.000000025
11-1-2009 3:00,0.000000175
11-1-2009 4:00,0
11-1-2009 5:00,0
11-1-2009 6:00,0.000003825
11-1-2009 7:00,0.000003875
11-1-2009 8:00,0
11-1-2009 9:00,0
11-1-2009 10:00,0.00000015
11-1-2009 11:00,0.000000025
11-1-2009 12:00,0
11-1-2009 13:00,0.0000016
11-1-2009 14:00,0.00000265
11-1-2009 15:00,0
11-1-2009 16:00,0
11-1-2009 17:00,0
11-1-2009 18:00,0
11-1-2009 19:00,0
11-1-2009 20:00,0
11-1-2009 21:00,0
11-1-2009 22:00,0
11-1-2009 23:00,0
12-1-2009 0:00,0
12-1-2009 1:00,0
12-1-2009 2:00,0
12-1-2009 3:00,0
12-1-2009 4:00,0
12-1-2009 5:00,0
12-1-2009 6:00,0
12-1-2009 7:00,0
12-1-2009 8:00,0.000000175
12-1-2009 9:00,0.0000019
