well name,X,Y,screen top (m ref),screen bottom (m ref)
total_extracted_volumes_Nijverdal, 226683.50, 486366.85,  0.00,  0.00

date,volume (m3)
15-1-1974 12:00,341930.00
15-2-1974 12:00,345650.00
18-3-1974 12:00,421932.00
18-4-1974 12:00,367097.00
19-5-1974 12:00,414021.00
19-6-1974 12:00,336111.00
20-7-1974 12:00,386363.00
20-8-1974 12:00,331743.00
20-9-1974 12:00,303240.00
21-10-1974 12:00,387460.00
21-11-1974 12:00,338290.00
22-12-1974 12:00,437337.00
22-1-1975 12:00,367061.00
22-2-1975 12:00,432096.00
25-3-1975 12:00,348501.00
25-4-1975 12:00,363204.00
26-5-1975 12:00,445666.00
26-6-1975 12:00,376632.00
27-7-1975 12:00,446188.00
27-8-1975 12:00,362813.00
27-9-1975 12:00,417408.00
28-10-1975 12:00,330407.00
28-11-1975 12:00,342900.00
29-12-1975 12:00,436677.00
29-1-1976 12:00,367386.00
29-2-1976 12:00,450251.00
31-3-1976 12:00,364340.00
1-5-1976 12:00,526184.00
1-6-1976 12:00,392890.00
2-7-1976 12:00,486769.00
2-8-1976 12:00,510794.00
2-9-1976 12:00,432916.00
3-10-1976 12:00,465836.00
3-11-1976 12:00,365453.00
4-12-1976 12:00,444803.00
4-1-1977 12:00,365255.00
4-2-1977 12:00,367284.00
7-3-1977 12:00,473153.00
7-4-1977 12:00,370335.00
8-5-1977 12:00,477313.00
8-6-1977 12:00,427126.00
9-7-1977 12:00,511150.00
9-8-1977 12:00,379879.00
9-9-1977 12:00,404368.00
10-10-1977 12:00,497026.00
10-11-1977 12:00,375003.00
11-12-1977 12:00,477621.00
11-1-1978 12:00,378665.00
11-2-1978 12:00,481891.00
14-3-1978 12:00,413411.00
14-4-1978 12:00,425096.00
15-5-1978 12:00,494591.00
15-6-1978 12:00,434744.00
16-7-1978 12:00,433122.00
16-8-1978 12:00,359461.00
16-9-1978 12:00,438304.00
17-10-1978 12:00,352754.00
17-11-1978 12:00,356923.00
18-12-1978 12:00,442060.00
18-1-1979 12:00,350414.00
18-2-1979 12:00,447757.00
21-3-1979 12:00,376022.00
21-4-1979 12:00,384250.00
22-5-1979 12:00,482900.00
22-6-1979 12:00,377852.00
23-7-1979 12:00,442769.00
23-8-1979 12:00,377945.00
23-9-1979 12:00,451002.00
24-10-1979 12:00,347273.00
24-11-1979 12:00,445918.00
25-12-1979 12:00,352754.00
25-1-1980 12:00,363831.00
25-2-1980 12:00,450399.00
27-3-1980 12:00,379889.00
27-4-1980 12:00,507895.00
28-5-1980 12:00,451003.00
28-6-1980 12:00,419878.00
29-7-1980 12:00,302667.00
29-8-1980 12:00,344012.00
29-9-1980 12:00,435251.00
30-10-1980 12:00,337515.00
30-11-1980 12:00,438705.00
31-12-1980 12:00,343001.00
31-1-1981 12:00,417067.00
3-3-1981 12:00,335078.00
3-4-1981 12:00,333450.00
4-5-1981 12:00,434445.00
4-6-1981 12:00,327154.00
5-7-1981 12:00,391260.00
5-8-1981 12:00,284888.00
5-9-1981 12:00,395733.00
6-10-1981 12:00,281636.00
6-11-1981 12:00,283973.00
7-12-1981 12:00,340158.00
7-1-1982 12:00,259994.00
7-2-1982 12:00,361899.00
10-3-1982 12:00,297381.00
10-4-1982 12:00,410262.00
11-5-1982 12:00,339852.00
11-6-1982 12:00,427735.00
12-7-1982 12:00,472946.00
12-8-1982 12:00,390754.00
12-9-1982 12:00,383135.00
13-10-1982 12:00,287833.00
13-11-1982 12:00,345946.00
14-12-1982 12:00,292099.00
14-1-1983 12:00,298198.00
14-2-1983 12:00,359357.00
17-3-1983 12:00,303076.00
17-4-1983 12:00,413313.00
18-5-1983 12:00,343917.00
18-6-1983 12:00,465632.00
19-7-1983 12:00,407926.00
19-8-1983 12:00,422146.00
